C,penalty,solver,max_iter,class_weight,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
10.0,l2,lbfgs,500,,0.7818,0.7844,0.8347,0.8137,0.7818,0.7876,0.0286,0.1689,0.2156,0.2182,-0.0026,0.5577,0.2156,0.3098,0.6833,0.696,0.6895,0.9624,0.9731,0.9668,0.9352,0.9267,0.9309,0.9179,0.9525,0.9348,0.8245,0.7921,0.8078,0.7539,0.8241,0.7874,0.8747,0.8741,0.8741
50.0,l2,lbfgs,500,,0.7818,0.7847,0.8349,0.8125,0.7818,0.7875,0.0285,0.1689,0.2153,0.2182,-0.0029,0.5569,0.2206,0.315,0.684,0.6936,0.6887,0.9614,0.9662,0.963,0.9354,0.9274,0.9314,0.9175,0.9528,0.9347,0.815,0.7941,0.8041,0.7551,0.8243,0.7881,0.8748,0.8753,0.8747
10.0,l2,lbfgs,1000,,0.7818,0.7844,0.8347,0.8137,0.7818,0.7876,0.0286,0.1689,0.2156,0.2182,-0.0026,0.5577,0.2156,0.3098,0.6833,0.696,0.6895,0.9624,0.9731,0.9668,0.9352,0.9267,0.9309,0.9179,0.9525,0.9348,0.8245,0.7921,0.8078,0.7539,0.8241,0.7874,0.8747,0.8741,0.8741
5.0,l2,lbfgs,500,,0.7815,0.7836,0.8348,0.8132,0.7815,0.7871,0.0286,0.169,0.2164,0.2185,-0.0021,0.5599,0.2146,0.3091,0.6843,0.6963,0.6902,0.9557,0.9731,0.9635,0.9356,0.9262,0.9309,0.9171,0.9535,0.9349,0.8264,0.7902,0.8076,0.7534,0.8242,0.7872,0.8735,0.8741,0.8735
5.0,l2,lbfgs,1000,,0.7815,0.7836,0.8348,0.8132,0.7815,0.7871,0.0286,0.169,0.2164,0.2185,-0.0021,0.5599,0.2146,0.3091,0.6843,0.6963,0.6902,0.9557,0.9731,0.9635,0.9356,0.9262,0.9309,0.9171,0.9535,0.9349,0.8264,0.7902,0.8076,0.7534,0.8242,0.7872,0.8735,0.8741,0.8735
1.0,l2,lbfgs,1000,,0.7739,0.7759,0.834,0.8087,0.7739,0.781,0.0288,0.1697,0.2241,0.2261,-0.0021,0.5389,0.2014,0.2923,0.687,0.6951,0.6909,0.9392,0.9329,0.9352,0.9354,0.925,0.9302,0.9121,0.9547,0.9329,0.8291,0.7784,0.8028,0.7533,0.8271,0.7884,0.8747,0.8765,0.8754
1.0,l2,lbfgs,500,,0.7739,0.7759,0.834,0.8087,0.7739,0.781,0.0288,0.1697,0.2241,0.2261,-0.0021,0.5389,0.2014,0.2923,0.687,0.6951,0.6909,0.9392,0.9329,0.9352,0.9354,0.925,0.9302,0.9121,0.9547,0.9329,0.8291,0.7784,0.8028,0.7533,0.8271,0.7884,0.8747,0.8765,0.8754
5.0,l2,saga,1000,,0.7731,0.7774,0.8337,0.8086,0.7731,0.7807,0.0286,0.1692,0.2226,0.2269,-0.0042,0.5528,0.2105,0.304,0.6838,0.6975,0.6905,0.9249,0.9122,0.9178,0.9351,0.9251,0.9301,0.9163,0.9535,0.9345,0.8324,0.7882,0.8096,0.7519,0.8228,0.7857,0.8712,0.8753,0.8731
10.0,l2,saga,1000,,0.7725,0.7774,0.834,0.8084,0.7725,0.7802,0.0286,0.1692,0.2226,0.2275,-0.0049,0.5534,0.2105,0.304,0.6834,0.6981,0.6906,0.9245,0.9053,0.9141,0.9355,0.9257,0.9306,0.9177,0.9535,0.9352,0.8324,0.7882,0.8096,0.7525,0.8232,0.7862,0.868,0.8753,0.8716
50.0,l2,saga,1000,,0.7723,0.7779,0.8339,0.8093,0.7723,0.7805,0.0286,0.1692,0.2221,0.2277,-0.0056,0.5534,0.2105,0.304,0.6829,0.6978,0.6902,0.9313,0.9053,0.9173,0.9352,0.9256,0.9303,0.918,0.9535,0.9353,0.8343,0.7882,0.8105,0.7525,0.8235,0.7864,0.8669,0.8741,0.8703
50.0,l2,saga,500,,0.7703,0.7734,0.8336,0.8073,0.7703,0.7787,0.0287,0.1694,0.2266,0.2297,-0.0032,0.5515,0.2125,0.3061,0.684,0.6972,0.6904,0.9234,0.8917,0.9063,0.9349,0.9256,0.9302,0.9167,0.954,0.9349,0.8281,0.7823,0.8044,0.7525,0.8222,0.7858,0.8671,0.8765,0.8717
10.0,l2,saga,500,,0.77,0.7732,0.8334,0.8068,0.77,0.7783,0.0287,0.1694,0.2268,0.23,-0.0032,0.549,0.2105,0.3035,0.6844,0.6972,0.6906,0.9234,0.8917,0.9063,0.9349,0.9253,0.9301,0.9165,0.954,0.9348,0.8281,0.7823,0.8045,0.752,0.8222,0.7855,0.8661,0.8765,0.8711
5.0,l2,saga,500,,0.77,0.7728,0.8337,0.8061,0.77,0.7779,0.0287,0.1695,0.2272,0.23,-0.0028,0.5474,0.2085,0.3011,0.6845,0.6975,0.6908,0.9174,0.8917,0.9034,0.9352,0.9256,0.9303,0.9165,0.9537,0.9347,0.8281,0.7823,0.8045,0.7527,0.8232,0.7863,0.8672,0.8777,0.8723
1.0,l2,saga,1000,,0.7694,0.7723,0.8337,0.8067,0.7694,0.7776,0.0289,0.1699,0.2277,0.2306,-0.0029,0.5333,0.1963,0.2863,0.6857,0.6954,0.6904,0.931,0.9055,0.917,0.9356,0.9251,0.9303,0.9119,0.9552,0.933,0.8304,0.7765,0.8025,0.7534,0.8271,0.7884,0.8721,0.8741,0.873
1.0,l2,saga,500,,0.7654,0.7693,0.8331,0.8034,0.7654,0.774,0.0289,0.17,0.2307,0.2346,-0.004,0.5294,0.1963,0.2858,0.6859,0.6948,0.6902,0.9119,0.8848,0.8964,0.9357,0.925,0.9303,0.9117,0.9554,0.933,0.8307,0.7667,0.7972,0.7526,0.8271,0.788,0.8698,0.8729,0.8713
0.1,l2,lbfgs,500,,0.741,0.7425,0.8244,0.8007,0.741,0.7547,0.0307,0.1753,0.2575,0.259,-0.0016,0.5251,0.1397,0.2195,0.6792,0.6761,0.6774,0.9481,0.8782,0.9109,0.9314,0.923,0.9272,0.8903,0.9557,0.9218,0.8485,0.6784,0.7537,0.7395,0.829,0.7816,0.8439,0.8477,0.8457
0.1,l2,lbfgs,1000,,0.741,0.7425,0.8244,0.8007,0.741,0.7547,0.0307,0.1753,0.2575,0.259,-0.0016,0.5251,0.1397,0.2195,0.6792,0.6761,0.6774,0.9481,0.8782,0.9109,0.9314,0.923,0.9272,0.8903,0.9557,0.9218,0.8485,0.6784,0.7537,0.7395,0.829,0.7816,0.8439,0.8477,0.8457
0.1,l2,saga,500,,0.7385,0.741,0.8244,0.7983,0.7385,0.7523,0.0307,0.1753,0.259,0.2615,-0.0024,0.5229,0.1407,0.2204,0.6801,0.6764,0.678,0.9339,0.8579,0.8926,0.9316,0.923,0.9272,0.8905,0.9559,0.922,0.8459,0.6765,0.7514,0.7393,0.8288,0.7814,0.8422,0.8489,0.8455
0.1,l2,saga,1000,,0.7385,0.741,0.8244,0.7983,0.7385,0.7523,0.0307,0.1753,0.259,0.2615,-0.0024,0.5229,0.1407,0.2204,0.6801,0.6764,0.678,0.9339,0.8579,0.8926,0.9316,0.923,0.9272,0.8905,0.9559,0.922,0.8459,0.6765,0.7514,0.7393,0.8288,0.7814,0.8422,0.8489,0.8455
0.01,l2,saga,1000,,0.6328,0.6336,0.7898,0.7615,0.6328,0.6526,0.0368,0.1918,0.3664,0.3672,-0.0008,0.5709,0.0233,0.0443,0.6416,0.599,0.6194,0.9875,0.6607,0.7873,0.9148,0.9235,0.9191,0.8331,0.9438,0.885,0.6907,0.349,0.463,0.7,0.8208,0.7555,0.7537,0.7422,0.7474
0.01,l2,saga,500,,0.6328,0.6336,0.7898,0.7615,0.6328,0.6526,0.0368,0.1918,0.3664,0.3672,-0.0008,0.5709,0.0233,0.0443,0.6416,0.599,0.6194,0.9875,0.6607,0.7873,0.9148,0.9235,0.9191,0.8331,0.9438,0.885,0.6907,0.349,0.463,0.7,0.8208,0.7555,0.7537,0.7422,0.7474
0.01,l2,lbfgs,500,,0.6328,0.6338,0.7897,0.7612,0.6328,0.6528,0.0368,0.1918,0.3662,0.3672,-0.001,0.5689,0.0243,0.0461,0.6419,0.5987,0.6193,0.9875,0.6607,0.7873,0.9144,0.9235,0.9189,0.8327,0.9438,0.8848,0.6907,0.349,0.463,0.7001,0.8204,0.7554,0.7537,0.7422,0.7474
0.01,l2,lbfgs,1000,,0.6328,0.6338,0.7897,0.7612,0.6328,0.6528,0.0368,0.1918,0.3662,0.3672,-0.001,0.5689,0.0243,0.0461,0.6419,0.5987,0.6193,0.9875,0.6607,0.7873,0.9144,0.9235,0.9189,0.8327,0.9438,0.8848,0.6907,0.349,0.463,0.7001,0.8204,0.7554,0.7537,0.7422,0.7474
