n_estimators,max_features,max_depth,min_samples_split,class_weight,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
100,log2,,5,balanced,0.8105,0.9961,0.8599,0.8193,0.8105,0.8117,0.0248,0.1576,0.0039,0.1895,-0.1856,0.4872,0.3006,0.3716,0.6994,0.6927,0.696,0.944,0.9867,0.964,0.9704,0.9596,0.965,0.9293,0.9624,0.9456,0.8335,0.8313,0.8322,0.8073,0.8588,0.8321,0.8832,0.8921,0.8874
100,sqrt,,5,balanced,0.8105,0.9961,0.8599,0.8193,0.8105,0.8117,0.0248,0.1576,0.0039,0.1895,-0.1856,0.4872,0.3006,0.3716,0.6994,0.6927,0.696,0.944,0.9867,0.964,0.9704,0.9596,0.965,0.9293,0.9624,0.9456,0.8335,0.8313,0.8322,0.8073,0.8588,0.8321,0.8832,0.8921,0.8874
100,log2,20.0,2,balanced,0.8094,0.9965,0.8596,0.8231,0.8094,0.8145,0.0249,0.1576,0.0035,0.1906,-0.1872,0.4693,0.3491,0.4,0.7085,0.677,0.6923,0.9492,0.9731,0.9599,0.9704,0.96,0.9652,0.9299,0.9639,0.9465,0.8604,0.8019,0.8296,0.8037,0.8602,0.8309,0.8933,0.8897,0.8913
100,sqrt,20.0,2,balanced,0.8094,0.9965,0.8596,0.8231,0.8094,0.8145,0.0249,0.1576,0.0035,0.1906,-0.1872,0.4693,0.3491,0.4,0.7085,0.677,0.6923,0.9492,0.9731,0.9599,0.9704,0.96,0.9652,0.9299,0.9639,0.9465,0.8604,0.8019,0.8296,0.8037,0.8602,0.8309,0.8933,0.8897,0.8913
300,log2,,2,balanced,0.8013,0.9999,0.8615,0.8285,0.8013,0.8074,0.0245,0.1565,0.0001,0.1987,-0.1986,0.524,0.2358,0.3248,0.6945,0.7113,0.7027,0.944,0.9867,0.964,0.971,0.9604,0.9657,0.9293,0.9646,0.9466,0.8614,0.8,0.8292,0.8002,0.868,0.8327,0.9036,0.8837,0.8934
300,sqrt,,2,balanced,0.8013,0.9999,0.8615,0.8285,0.8013,0.8074,0.0245,0.1565,0.0001,0.1987,-0.1986,0.524,0.2358,0.3248,0.6945,0.7113,0.7027,0.944,0.9867,0.964,0.971,0.9604,0.9657,0.9293,0.9646,0.9466,0.8614,0.8,0.8292,0.8002,0.868,0.8327,0.9036,0.8837,0.8934
100,log2,20.0,5,,0.8005,0.9848,0.8615,0.829,0.8005,0.807,0.0246,0.1568,0.0152,0.1995,-0.1843,0.5334,0.2368,0.3276,0.6971,0.7092,0.703,0.9616,0.9662,0.9628,0.9702,0.961,0.9655,0.9295,0.9651,0.947,0.8473,0.8117,0.8289,0.7998,0.8666,0.8318,0.8929,0.8873,0.8899
100,sqrt,20.0,5,,0.8005,0.9848,0.8615,0.829,0.8005,0.807,0.0246,0.1568,0.0152,0.1995,-0.1843,0.5334,0.2368,0.3276,0.6971,0.7092,0.703,0.9616,0.9662,0.9628,0.9702,0.961,0.9655,0.9295,0.9651,0.947,0.8473,0.8117,0.8289,0.7998,0.8666,0.8318,0.8929,0.8873,0.8899
100,log2,,2,,0.8003,0.9999,0.8622,0.8307,0.8003,0.8073,0.0245,0.1567,0.0001,0.1997,-0.1997,0.5412,0.2338,0.326,0.6968,0.7119,0.7041,0.9616,0.9662,0.9628,0.9701,0.9607,0.9654,0.9299,0.9668,0.9479,0.8517,0.8098,0.8299,0.801,0.868,0.8331,0.8935,0.8849,0.8891
100,log2,,5,,0.8003,0.992,0.8621,0.8277,0.8003,0.8067,0.0246,0.157,0.008,0.1997,-0.1917,0.5106,0.2287,0.3149,0.6972,0.7104,0.7036,0.9616,0.9662,0.9628,0.9709,0.961,0.9659,0.9312,0.9658,0.9481,0.8568,0.8157,0.8354,0.8022,0.8696,0.8344,0.8914,0.8849,0.8881
