n_components,n_estimators,max_features,max_depth,class_weight,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
3,100,sqrt,,balanced,0.6173,0.9999,0.7363,0.6586,0.6173,0.6204,0.0448,0.2115,0.0001,0.3827,-0.3826,0.335,0.0688,0.1138,0.5065,0.4148,0.456,0.9493,0.9251,0.9345,0.8977,0.9095,0.9035,0.888,0.9597,0.9224,0.3449,0.1608,0.2184,0.5726,0.7129,0.6351,0.7754,0.7866,0.7796
3,300,sqrt,,,0.6163,0.9999,0.737,0.6551,0.6163,0.6199,0.0445,0.211,0.0001,0.3837,-0.3836,0.326,0.079,0.1269,0.5092,0.4238,0.4625,0.9493,0.9182,0.9303,0.897,0.9119,0.9044,0.8906,0.9607,0.9243,0.3222,0.1471,0.2015,0.5752,0.7057,0.6337,0.771,0.7842,0.776
3,500,log2,,,0.6157,0.9999,0.7361,0.6557,0.6157,0.6195,0.0445,0.2109,0.0001,0.3843,-0.3842,0.3245,0.0759,0.1229,0.5081,0.4235,0.4619,0.9493,0.9113,0.9259,0.8962,0.9119,0.904,0.8904,0.9602,0.924,0.3346,0.153,0.2095,0.573,0.7023,0.6309,0.7692,0.7878,0.7771
3,500,sqrt,,balanced,0.6156,0.9999,0.7365,0.6554,0.6156,0.6181,0.0443,0.2105,0.0001,0.3844,-0.3844,0.3416,0.0709,0.1169,0.506,0.4166,0.4568,0.9435,0.9251,0.9315,0.8989,0.9121,0.9054,0.8887,0.96,0.923,0.3253,0.151,0.2059,0.5728,0.7107,0.6342,0.7663,0.7782,0.7709
9,300,sqrt,5.0,,0.6155,0.6259,0.7764,0.7281,0.6155,0.6185,0.0407,0.2018,0.3741,0.3845,-0.0104,0.0,0.0,0.0,0.5727,0.5644,0.5683,0.9861,0.8572,0.9147,0.9395,0.9051,0.922,0.8697,0.9583,0.9118,0.9818,0.0647,0.1206,0.6407,0.825,0.7212,0.8342,0.7494,0.7893
9,300,log2,5.0,,0.6155,0.6259,0.7764,0.7281,0.6155,0.6185,0.0407,0.2018,0.3741,0.3845,-0.0104,0.0,0.0,0.0,0.5727,0.5644,0.5683,0.9861,0.8572,0.9147,0.9395,0.9051,0.922,0.8697,0.9583,0.9118,0.9818,0.0647,0.1206,0.6407,0.825,0.7212,0.8342,0.7494,0.7893
3,300,log2,,balanced,0.6155,0.9999,0.7367,0.6548,0.6155,0.6183,0.0444,0.2107,0.0001,0.3845,-0.3845,0.3365,0.0719,0.1181,0.5059,0.4163,0.4567,0.9435,0.9182,0.9272,0.9006,0.9113,0.9059,0.8897,0.9597,0.9234,0.3205,0.153,0.2065,0.5729,0.7127,0.6352,0.7686,0.7806,0.7732
9,500,sqrt,5.0,,0.6153,0.629,0.7765,0.7278,0.6153,0.6197,0.0408,0.2019,0.371,0.3847,-0.0136,0.0,0.0,0.0,0.5731,0.5608,0.5667,0.9855,0.8439,0.9068,0.9385,0.9051,0.9215,0.8702,0.9607,0.9132,0.9818,0.0745,0.138,0.6404,0.8246,0.7209,0.8331,0.753,0.7906
3,100,log2,,,0.6145,0.9999,0.7329,0.6488,0.6145,0.6178,0.0448,0.2116,0.0001,0.3855,-0.3854,0.2985,0.0739,0.1182,0.4973,0.4193,0.4549,0.9493,0.9182,0.9303,0.8987,0.9063,0.9025,0.89,0.9585,0.923,0.3091,0.1529,0.2044,0.5703,0.7005,0.6286,0.7775,0.7866,0.7804
8,100,sqrt,5.0,,0.6143,0.6292,0.7744,0.7235,0.6143,0.6222,0.0417,0.2043,0.3708,0.3857,-0.0149,0.0,0.0,0.0,0.5861,0.5316,0.5574,0.977,0.8372,0.9002,0.9335,0.9015,0.9172,0.8588,0.9598,0.9064,0.956,0.1059,0.1874,0.6351,0.8405,0.7234,0.8418,0.7374,0.7859
9,100,log2,5.0,,0.6128,0.6238,0.7749,0.7292,0.6128,0.6152,0.0408,0.2021,0.3762,0.3872,-0.011,0.0,0.0,0.0,0.5694,0.5554,0.562,0.9778,0.8508,0.9074,0.9398,0.9045,0.9218,0.8709,0.9585,0.9126,1.0,0.0568,0.1065,0.6362,0.826,0.7188,0.8394,0.7506,0.7921
9,100,sqrt,5.0,,0.6128,0.6238,0.7749,0.7292,0.6128,0.6152,0.0408,0.2021,0.3762,0.3872,-0.011,0.0,0.0,0.0,0.5694,0.5554,0.562,0.9778,0.8508,0.9074,0.9398,0.9045,0.9218,0.8709,0.9585,0.9126,1.0,0.0568,0.1065,0.6362,0.826,0.7188,0.8394,0.7506,0.7921
8,300,sqrt,5.0,,0.6117,0.6257,0.7758,0.7293,0.6117,0.6181,0.0418,0.2044,0.3743,0.3883,-0.014,0.0,0.0,0.0,0.5886,0.5301,0.5576,0.9771,0.8237,0.8923,0.937,0.9028,0.9196,0.8598,0.9619,0.908,1.0,0.0843,0.1537,0.6355,0.8451,0.7254,0.8361,0.7458,0.7881
7,100,sqrt,5.0,,0.6014,0.6103,0.7723,0.6021,0.6014,0.5983,0.0419,0.2047,0.3897,0.3986,-0.0089,0.0,0.0,0.0,0.5732,0.5476,0.5599,0.978,0.8306,0.8962,0.9378,0.9034,0.9203,0.8648,0.9569,0.9085,0.0,0.0,0.0,0.633,0.8306,0.7184,0.8298,0.7422,0.7834
7,100,log2,5.0,,0.6014,0.6103,0.7723,0.6021,0.6014,0.5983,0.0419,0.2047,0.3897,0.3986,-0.0089,0.0,0.0,0.0,0.5732,0.5476,0.5599,0.978,0.8306,0.8962,0.9378,0.9034,0.9203,0.8648,0.9569,0.9085,0.0,0.0,0.0,0.633,0.8306,0.7184,0.8298,0.7422,0.7834
7,500,sqrt,5.0,,0.6013,0.6121,0.773,0.6022,0.6013,0.5982,0.0419,0.2047,0.3879,0.3987,-0.0108,0.0,0.0,0.0,0.5775,0.5403,0.5581,0.9717,0.8306,0.893,0.9366,0.9065,0.9213,0.8604,0.9593,0.9071,0.0,0.0,0.0,0.634,0.8329,0.7199,0.8376,0.7411,0.7861
7,500,log2,5.0,,0.6013,0.6121,0.773,0.6022,0.6013,0.5982,0.0419,0.2047,0.3879,0.3987,-0.0108,0.0,0.0,0.0,0.5775,0.5403,0.5581,0.9717,0.8306,0.893,0.9366,0.9065,0.9213,0.8604,0.9593,0.9071,0.0,0.0,0.0,0.634,0.8329,0.7199,0.8376,0.7411,0.7861
3,500,log2,10.0,,0.5945,0.6599,0.7427,0.6691,0.5945,0.5875,0.043,0.2074,0.3401,0.4055,-0.0654,0.3686,0.0081,0.0158,0.5547,0.3657,0.4402,0.9609,0.8979,0.9249,0.9042,0.9044,0.9042,0.879,0.9694,0.922,0.3487,0.0314,0.0573,0.5594,0.7993,0.6581,0.7769,0.7794,0.7775
3,300,log2,10.0,,0.5942,0.6587,0.7415,0.6709,0.5942,0.5867,0.043,0.2075,0.3413,0.4058,-0.0645,0.3667,0.0081,0.0158,0.5514,0.3633,0.4376,0.9609,0.9046,0.9285,0.9033,0.9036,0.9034,0.8786,0.9689,0.9215,0.3719,0.0294,0.0538,0.5581,0.7973,0.6565,0.7768,0.7782,0.7768
3,300,sqrt,10.0,,0.5942,0.6587,0.7415,0.6709,0.5942,0.5867,0.043,0.2075,0.3413,0.4058,-0.0645,0.3667,0.0081,0.0158,0.5514,0.3633,0.4376,0.9609,0.9046,0.9285,0.9033,0.9036,0.9034,0.8786,0.9689,0.9215,0.3719,0.0294,0.0538,0.5581,0.7973,0.6565,0.7768,0.7782,0.7768
3,100,log2,10.0,,0.5939,0.6586,0.7422,0.6385,0.5939,0.5855,0.0431,0.2076,0.3414,0.4061,-0.0647,0.125,0.0031,0.0059,0.5502,0.3627,0.4366,0.9609,0.9046,0.9285,0.9043,0.9036,0.9038,0.8812,0.9684,0.9228,0.3467,0.0255,0.0473,0.5592,0.8019,0.6589,0.7802,0.7818,0.7804
3,100,sqrt,10.0,,0.5939,0.6586,0.7422,0.6385,0.5939,0.5855,0.0431,0.2076,0.3414,0.4061,-0.0647,0.125,0.0031,0.0059,0.5502,0.3627,0.4366,0.9609,0.9046,0.9285,0.9043,0.9036,0.9038,0.8812,0.9684,0.9228,0.3467,0.0255,0.0473,0.5592,0.8019,0.6589,0.7802,0.7818,0.7804
5,500,log2,5.0,,0.5779,0.5885,0.743,0.5893,0.5779,0.5721,0.045,0.2122,0.4115,0.4221,-0.0106,0.0,0.0,0.0,0.6023,0.3109,0.4099,0.9773,0.8308,0.8961,0.9156,0.9024,0.9089,0.8606,0.9609,0.908,0.0,0.0,0.0,0.5493,0.8566,0.6693,0.8092,0.7614,0.7842
5,500,sqrt,5.0,,0.5779,0.5885,0.743,0.5893,0.5779,0.5721,0.045,0.2122,0.4115,0.4221,-0.0106,0.0,0.0,0.0,0.6023,0.3109,0.4099,0.9773,0.8308,0.8961,0.9156,0.9024,0.9089,0.8606,0.9609,0.908,0.0,0.0,0.0,0.5493,0.8566,0.6693,0.8092,0.7614,0.7842
5,100,sqrt,5.0,,0.5766,0.588,0.742,0.5877,0.5766,0.5707,0.045,0.2122,0.412,0.4234,-0.0114,0.0,0.0,0.0,0.6027,0.3122,0.4107,0.9693,0.8239,0.8887,0.9133,0.9019,0.9076,0.8585,0.9643,0.9083,0.0,0.0,0.0,0.5483,0.85,0.6666,0.8096,0.7602,0.7838
5,100,log2,5.0,,0.5766,0.588,0.742,0.5877,0.5766,0.5707,0.045,0.2122,0.412,0.4234,-0.0114,0.0,0.0,0.0,0.6027,0.3122,0.4107,0.9693,0.8239,0.8887,0.9133,0.9019,0.9076,0.8585,0.9643,0.9083,0.0,0.0,0.0,0.5483,0.85,0.6666,0.8096,0.7602,0.7838
6,100,sqrt,5.0,,0.5723,0.5816,0.7392,0.6105,0.5723,0.5666,0.0454,0.2131,0.4184,0.4277,-0.0094,0.0,0.0,0.0,0.5957,0.2899,0.3898,0.9693,0.817,0.8842,0.9114,0.9009,0.9061,0.8516,0.959,0.9021,0.2,0.002,0.0039,0.548,0.86,0.6694,0.8078,0.7494,0.7771
6,500,log2,5.0,,0.5717,0.5809,0.7392,0.5868,0.5717,0.5649,0.0453,0.2129,0.4191,0.4283,-0.0093,0.0,0.0,0.0,0.6104,0.2736,0.3777,0.9693,0.817,0.8842,0.911,0.9037,0.9073,0.8499,0.9602,0.9017,0.0,0.0,0.0,0.5455,0.8656,0.6693,0.8078,0.753,0.7789
6,500,sqrt,5.0,,0.5717,0.5809,0.7392,0.5868,0.5717,0.5649,0.0453,0.2129,0.4191,0.4283,-0.0093,0.0,0.0,0.0,0.6104,0.2736,0.3777,0.9693,0.817,0.8842,0.911,0.9037,0.9073,0.8499,0.9602,0.9017,0.0,0.0,0.0,0.5455,0.8656,0.6693,0.8078,0.753,0.7789
6,300,sqrt,5.0,,0.571,0.5794,0.7376,0.5859,0.571,0.5642,0.0454,0.2131,0.4206,0.429,-0.0084,0.0,0.0,0.0,0.6034,0.2712,0.3741,0.9693,0.817,0.8842,0.91,0.9006,0.9052,0.8505,0.9593,0.9016,0.0,0.0,0.0,0.544,0.8654,0.668,0.8097,0.7542,0.7805
6,300,log2,5.0,,0.571,0.5794,0.7376,0.5859,0.571,0.5642,0.0454,0.2131,0.4206,0.429,-0.0084,0.0,0.0,0.0,0.6034,0.2712,0.3741,0.9693,0.817,0.8842,0.91,0.9006,0.9052,0.8505,0.9593,0.9016,0.0,0.0,0.0,0.544,0.8654,0.668,0.8097,0.7542,0.7805
4,300,log2,5.0,,0.5661,0.5753,0.7351,0.5795,0.5661,0.5624,0.0457,0.2137,0.4247,0.4339,-0.0092,0.0,0.0,0.0,0.5457,0.3173,0.4006,0.9613,0.769,0.8468,0.913,0.8977,0.9053,0.8695,0.9547,0.9101,0.0,0.0,0.0,0.5423,0.8323,0.6566,0.804,0.7578,0.7799
4,300,sqrt,5.0,,0.5661,0.5753,0.7351,0.5795,0.5661,0.5624,0.0457,0.2137,0.4247,0.4339,-0.0092,0.0,0.0,0.0,0.5457,0.3173,0.4006,0.9613,0.769,0.8468,0.913,0.8977,0.9053,0.8695,0.9547,0.9101,0.0,0.0,0.0,0.5423,0.8323,0.6566,0.804,0.7578,0.7799
4,500,sqrt,5.0,,0.564,0.576,0.7347,0.5788,0.564,0.5609,0.0456,0.2136,0.424,0.436,-0.0121,0.0,0.0,0.0,0.5437,0.3173,0.4003,0.9613,0.7556,0.8379,0.9123,0.8987,0.9054,0.8686,0.9554,0.9099,0.0,0.0,0.0,0.5421,0.8293,0.6555,0.8024,0.7554,0.778
4,100,log2,5.0,,0.5638,0.5752,0.7348,0.5785,0.5638,0.561,0.0456,0.2136,0.4248,0.4362,-0.0114,0.0,0.0,0.0,0.5386,0.3215,0.4021,0.9613,0.7556,0.8379,0.9128,0.8986,0.9056,0.8693,0.9547,0.91,0.0,0.0,0.0,0.5435,0.8282,0.6563,0.8027,0.7518,0.7762
4,100,sqrt,5.0,,0.5638,0.5752,0.7348,0.5785,0.5638,0.561,0.0456,0.2136,0.4248,0.4362,-0.0114,0.0,0.0,0.0,0.5386,0.3215,0.4021,0.9613,0.7556,0.8379,0.9128,0.8986,0.9056,0.8693,0.9547,0.91,0.0,0.0,0.0,0.5435,0.8282,0.6563,0.8027,0.7518,0.7762
3,300,log2,5.0,,0.5439,0.5503,0.7183,0.5922,0.5439,0.5293,0.0481,0.2193,0.4497,0.4561,-0.0064,0.0,0.0,0.0,0.734,0.1165,0.2003,0.9585,0.7287,0.8201,0.918,0.8854,0.9014,0.8371,0.973,0.9,0.0,0.0,0.0,0.5017,0.8971,0.6435,0.7884,0.7506,0.769
3,500,sqrt,5.0,,0.5431,0.5513,0.7186,0.5916,0.5431,0.5297,0.048,0.2191,0.4487,0.4569,-0.0082,0.0,0.0,0.0,0.7235,0.1213,0.207,0.9583,0.7221,0.8166,0.9199,0.8829,0.901,0.8366,0.9732,0.8998,0.0,0.0,0.0,0.5025,0.8992,0.6447,0.7923,0.7458,0.7682
3,500,log2,5.0,,0.5431,0.5513,0.7186,0.5916,0.5431,0.5297,0.048,0.2191,0.4487,0.4569,-0.0082,0.0,0.0,0.0,0.7235,0.1213,0.207,0.9583,0.7221,0.8166,0.9199,0.8829,0.901,0.8366,0.9732,0.8998,0.0,0.0,0.0,0.5025,0.8992,0.6447,0.7923,0.7458,0.7682
3,100,sqrt,5.0,,0.5427,0.5468,0.7197,0.592,0.5427,0.532,0.0481,0.2193,0.4532,0.4573,-0.0041,0.0,0.0,0.0,0.7034,0.1337,0.2241,0.9665,0.7221,0.8186,0.9204,0.8828,0.9012,0.8345,0.973,0.8984,0.0,0.0,0.0,0.505,0.8986,0.6466,0.8064,0.7315,0.7669
3,100,log2,5.0,,0.5427,0.5468,0.7197,0.592,0.5427,0.532,0.0481,0.2193,0.4532,0.4573,-0.0041,0.0,0.0,0.0,0.7034,0.1337,0.2241,0.9665,0.7221,0.8186,0.9204,0.8828,0.9012,0.8345,0.973,0.8984,0.0,0.0,0.0,0.505,0.8986,0.6466,0.8064,0.7315,0.7669
2,100,sqrt,5.0,balanced,0.5409,0.5627,0.6206,0.5106,0.5409,0.4527,0.0618,0.2486,0.4373,0.4591,-0.0218,0.0965,0.1123,0.0993,0.8447,0.0906,0.1636,0.2933,0.6811,0.408,0.9435,0.8536,0.8963,0.8589,0.7419,0.796,0.09,0.5039,0.1526,0.5746,0.6663,0.6165,0.3834,0.6775,0.4896
2,100,log2,5.0,balanced,0.5409,0.5627,0.6206,0.5106,0.5409,0.4527,0.0618,0.2486,0.4373,0.4591,-0.0218,0.0965,0.1123,0.0993,0.8447,0.0906,0.1636,0.2933,0.6811,0.408,0.9435,0.8536,0.8963,0.8589,0.7419,0.796,0.09,0.5039,0.1526,0.5746,0.6663,0.6165,0.3834,0.6775,0.4896
2,300,log2,5.0,balanced,0.5408,0.5631,0.6194,0.5126,0.5408,0.4518,0.0617,0.2483,0.4369,0.4592,-0.0223,0.0987,0.1093,0.0989,0.8585,0.0876,0.1589,0.2911,0.6809,0.4058,0.944,0.8513,0.8952,0.8605,0.7375,0.7941,0.0886,0.5059,0.1507,0.5722,0.6689,0.6163,0.3867,0.6846,0.4941
2,300,sqrt,5.0,balanced,0.5408,0.5631,0.6194,0.5126,0.5408,0.4518,0.0617,0.2483,0.4369,0.4592,-0.0223,0.0987,0.1093,0.0989,0.8585,0.0876,0.1589,0.2911,0.6809,0.4058,0.944,0.8513,0.8952,0.8605,0.7375,0.7941,0.0886,0.5059,0.1507,0.5722,0.6689,0.6163,0.3867,0.6846,0.4941
2,100,log2,10.0,balanced,0.5359,0.6986,0.6448,0.5182,0.5359,0.5037,0.0568,0.2383,0.3014,0.4641,-0.1626,0.103,0.1255,0.1125,0.501,0.2399,0.3232,0.6697,0.5795,0.6113,0.9332,0.8711,0.9011,0.8584,0.7956,0.8257,0.1025,0.3843,0.1615,0.5934,0.6165,0.6044,0.3844,0.6751,0.4893
2,300,sqrt,10.0,balanced,0.5359,0.6991,0.6443,0.5169,0.5359,0.5023,0.0567,0.2381,0.3009,0.4641,-0.1632,0.1036,0.1275,0.1136,0.5029,0.2303,0.3146,0.6563,0.5795,0.6061,0.9334,0.8728,0.902,0.8591,0.7944,0.8254,0.1025,0.3902,0.162,0.5928,0.6189,0.6052,0.385,0.6739,0.4895
2,500,sqrt,10.0,balanced,0.5344,0.6995,0.6445,0.5151,0.5344,0.5015,0.0567,0.2381,0.3005,0.4656,-0.1651,0.103,0.1265,0.1129,0.5002,0.2345,0.3178,0.6484,0.5795,0.6019,0.9325,0.8734,0.9019,0.8578,0.7944,0.8248,0.1017,0.3823,0.1603,0.5937,0.6181,0.6052,0.384,0.6667,0.4868
2,100,log2,10.0,,0.4772,0.5425,0.6993,0.5448,0.4772,0.4818,0.0499,0.2234,0.4575,0.5228,-0.0653,0.0,0.0,0.0,0.4554,0.3471,0.3936,0.8548,0.4717,0.593,0.9076,0.896,0.9017,0.7817,0.8956,0.8348,0.2667,0.0039,0.0077,0.5527,0.772,0.644,0.54,0.4316,0.4793
2,300,sqrt,10.0,,0.4768,0.5434,0.6995,0.5737,0.4768,0.4812,0.0499,0.2233,0.4566,0.5232,-0.0666,0.2,0.001,0.002,0.4575,0.345,0.3931,0.848,0.465,0.5845,0.908,0.8954,0.9016,0.7828,0.8939,0.8347,0.3,0.0039,0.0077,0.5514,0.776,0.6445,0.5419,0.434,0.4816
2,300,log2,10.0,,0.4768,0.5434,0.6995,0.5737,0.4768,0.4812,0.0499,0.2233,0.4566,0.5232,-0.0666,0.2,0.001,0.002,0.4575,0.345,0.3931,0.848,0.465,0.5845,0.908,0.8954,0.9016,0.7828,0.8939,0.8347,0.3,0.0039,0.0077,0.5514,0.776,0.6445,0.5419,0.434,0.4816
2,500,log2,10.0,,0.4755,0.5432,0.6993,0.5476,0.4755,0.4797,0.0498,0.2232,0.4568,0.5245,-0.0676,0.2,0.001,0.002,0.4577,0.3441,0.3925,0.8421,0.4584,0.5786,0.9075,0.8955,0.9014,0.7817,0.8949,0.8345,0.1,0.002,0.0038,0.5517,0.7756,0.6446,0.5398,0.4328,0.48
2,500,sqrt,10.0,,0.4755,0.5432,0.6993,0.5476,0.4755,0.4797,0.0498,0.2232,0.4568,0.5245,-0.0676,0.2,0.001,0.002,0.4577,0.3441,0.3925,0.8421,0.4584,0.5786,0.9075,0.8955,0.9014,0.7817,0.8949,0.8345,0.1,0.002,0.0038,0.5517,0.7756,0.6446,0.5398,0.4328,0.48
2,300,sqrt,,,0.4747,0.9999,0.6696,0.5093,0.4747,0.4827,0.0556,0.2359,0.0001,0.5253,-0.5252,0.1335,0.0506,0.0733,0.4123,0.369,0.3894,0.7712,0.5188,0.6069,0.8851,0.8949,0.8899,0.7845,0.8571,0.8191,0.0585,0.0235,0.0335,0.5453,0.6486,0.5924,0.4839,0.4352,0.4571
2,300,log2,,,0.4747,0.9999,0.6696,0.5093,0.4747,0.4827,0.0556,0.2359,0.0001,0.5253,-0.5252,0.1335,0.0506,0.0733,0.4123,0.369,0.3894,0.7712,0.5188,0.6069,0.8851,0.8949,0.8899,0.7845,0.8571,0.8191,0.0585,0.0235,0.0335,0.5453,0.6486,0.5924,0.4839,0.4352,0.4571
2,300,sqrt,,balanced,0.4732,0.9999,0.671,0.5129,0.4732,0.4823,0.0553,0.2352,0.0001,0.5268,-0.5267,0.1318,0.0466,0.0687,0.4099,0.3669,0.3871,0.801,0.5051,0.6066,0.8858,0.896,0.8908,0.7869,0.8599,0.8217,0.0603,0.0216,0.0317,0.5461,0.6535,0.5949,0.4815,0.4364,0.457
2,300,log2,,balanced,0.4732,0.9999,0.671,0.5129,0.4732,0.4823,0.0553,0.2352,0.0001,0.5268,-0.5267,0.1318,0.0466,0.0687,0.4099,0.3669,0.3871,0.801,0.5051,0.6066,0.8858,0.896,0.8908,0.7869,0.8599,0.8217,0.0603,0.0216,0.0317,0.5461,0.6535,0.5949,0.4815,0.4364,0.457
2,100,log2,,,0.4721,0.9999,0.6688,0.5079,0.4721,0.4806,0.0559,0.2364,0.0001,0.5279,-0.5278,0.1302,0.0506,0.0728,0.4138,0.3673,0.3891,0.767,0.5053,0.5956,0.8853,0.8934,0.8893,0.7848,0.858,0.8197,0.0571,0.0255,0.0351,0.5433,0.6486,0.5912,0.4819,0.428,0.4524
2,500,log2,,,0.4719,0.9999,0.6684,0.5083,0.4719,0.4799,0.0556,0.2358,0.0001,0.5281,-0.528,0.1279,0.0496,0.0713,0.4081,0.3639,0.3846,0.7792,0.5051,0.5944,0.8844,0.8948,0.8895,0.7856,0.8559,0.8192,0.0567,0.0235,0.0332,0.5451,0.6486,0.5922,0.4793,0.434,0.4546
2,500,sqrt,,,0.4719,0.9999,0.6684,0.5083,0.4719,0.4799,0.0556,0.2358,0.0001,0.5281,-0.528,0.1279,0.0496,0.0713,0.4081,0.3639,0.3846,0.7792,0.5051,0.5944,0.8844,0.8948,0.8895,0.7856,0.8559,0.8192,0.0567,0.0235,0.0332,0.5451,0.6486,0.5922,0.4793,0.434,0.4546
2,500,log2,,balanced,0.4717,0.9999,0.6709,0.5145,0.4717,0.4814,0.0553,0.2351,0.0001,0.5283,-0.5283,0.1286,0.0445,0.066,0.4113,0.37,0.3895,0.815,0.4984,0.6034,0.8861,0.8952,0.8906,0.7865,0.8588,0.821,0.0617,0.0216,0.032,0.5453,0.6545,0.5949,0.4818,0.4304,0.4542
2,500,sqrt,,balanced,0.4717,0.9999,0.6709,0.5145,0.4717,0.4814,0.0553,0.2351,0.0001,0.5283,-0.5283,0.1286,0.0445,0.066,0.4113,0.37,0.3895,0.815,0.4984,0.6034,0.8861,0.8952,0.8906,0.7865,0.8588,0.821,0.0617,0.0216,0.032,0.5453,0.6545,0.5949,0.4818,0.4304,0.4542
2,100,sqrt,,balanced,0.4716,0.9999,0.6697,0.514,0.4716,0.4815,0.0556,0.2358,0.0001,0.5284,-0.5283,0.14,0.0506,0.0742,0.4094,0.3636,0.3851,0.7968,0.4984,0.5985,0.8877,0.8929,0.8903,0.7827,0.8561,0.8177,0.0676,0.0255,0.037,0.5446,0.6577,0.5957,0.4834,0.428,0.4533
2,300,sqrt,5.0,,0.4648,0.4728,0.6952,0.5209,0.4648,0.4693,0.0509,0.2257,0.5272,0.5352,-0.008,0.0,0.0,0.0,0.462,0.2574,0.3294,0.9101,0.4379,0.5688,0.9165,0.8826,0.8992,0.778,0.9009,0.8349,0.0,0.0,0.0,0.5292,0.8332,0.6471,0.5712,0.4065,0.4745
2,500,sqrt,5.0,,0.4644,0.472,0.6949,0.5218,0.4644,0.4686,0.0509,0.2257,0.528,0.5356,-0.0076,0.0,0.0,0.0,0.4681,0.2453,0.3215,0.9101,0.4379,0.5688,0.9172,0.8822,0.8993,0.7788,0.9016,0.8357,0.0,0.0,0.0,0.5246,0.8393,0.6456,0.5758,0.4089,0.4778
2,100,sqrt,5.0,,0.461,0.4681,0.6917,0.5216,0.461,0.4626,0.051,0.2258,0.5319,0.539,-0.0072,0.0,0.0,0.0,0.4884,0.202,0.2832,0.9052,0.4446,0.5703,0.9133,0.8847,0.8987,0.7779,0.9014,0.8351,0.0,0.0,0.0,0.5132,0.8524,0.6404,0.5752,0.4029,0.4733
