n_components,n_estimators,max_features,max_depth,class_weight,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
8,100,log2,5.0,balanced,0.7344,0.7524,0.694,0.6551,0.7344,0.6371,0.0499,0.2234,0.2476,0.2656,-0.018,0.2006,0.6488,0.3063,0.6943,0.1355,0.2262,0.9415,0.9529,0.9463,0.9524,0.8584,0.9029,0.8593,0.9181,0.8877,0.3341,0.8745,0.4833,0.6706,0.6155,0.6417,0.5881,0.8717,0.702
9,300,log2,5.0,balanced,0.7341,0.7523,0.6934,0.6526,0.7341,0.6342,0.0505,0.2246,0.2477,0.2659,-0.0182,0.2006,0.6417,0.3055,0.6997,0.1313,0.2208,0.9249,0.9598,0.9407,0.9526,0.8576,0.9026,0.8548,0.9231,0.8876,0.3166,0.8726,0.4645,0.6729,0.6139,0.6419,0.5987,0.8729,0.7098
9,300,sqrt,5.0,balanced,0.7341,0.7523,0.6934,0.6526,0.7341,0.6342,0.0505,0.2246,0.2477,0.2659,-0.0182,0.2006,0.6417,0.3055,0.6997,0.1313,0.2208,0.9249,0.9598,0.9407,0.9526,0.8576,0.9026,0.8548,0.9231,0.8876,0.3166,0.8726,0.4645,0.6729,0.6139,0.6419,0.5987,0.8729,0.7098
7,300,sqrt,,balanced,0.7314,0.9999,0.8252,0.7781,0.7314,0.7417,0.0307,0.1753,0.0001,0.2686,-0.2685,0.3748,0.1103,0.17,0.6219,0.6704,0.645,0.9614,0.9731,0.9668,0.9601,0.9467,0.9534,0.9171,0.9631,0.9395,0.8009,0.5412,0.6442,0.7454,0.8192,0.7804,0.8432,0.8273,0.8345
7,300,log2,,balanced,0.7314,0.9999,0.8252,0.7781,0.7314,0.7417,0.0307,0.1753,0.0001,0.2686,-0.2685,0.3748,0.1103,0.17,0.6219,0.6704,0.645,0.9614,0.9731,0.9668,0.9601,0.9467,0.9534,0.9171,0.9631,0.9395,0.8009,0.5412,0.6442,0.7454,0.8192,0.7804,0.8432,0.8273,0.8345
7,500,sqrt,,balanced,0.7304,0.9999,0.8261,0.7815,0.7304,0.7414,0.0307,0.1752,0.0001,0.2696,-0.2695,0.3994,0.1113,0.1735,0.6216,0.6752,0.6471,0.9614,0.9731,0.9668,0.9597,0.9478,0.9537,0.9189,0.9629,0.9404,0.7968,0.5274,0.6328,0.7461,0.8198,0.781,0.848,0.8262,0.8363
7,100,log2,,balanced,0.73,0.9999,0.8249,0.7759,0.73,0.7398,0.031,0.1761,0.0001,0.27,-0.2699,0.3862,0.1134,0.1747,0.6234,0.6686,0.645,0.9556,0.9731,0.9636,0.9593,0.9462,0.9527,0.9195,0.9648,0.9416,0.7729,0.5314,0.6274,0.7427,0.819,0.7788,0.848,0.8238,0.8346
7,100,sqrt,,balanced,0.73,0.9999,0.8249,0.7759,0.73,0.7398,0.031,0.1761,0.0001,0.27,-0.2699,0.3862,0.1134,0.1747,0.6234,0.6686,0.645,0.9556,0.9731,0.9636,0.9593,0.9462,0.9527,0.9195,0.9648,0.9416,0.7729,0.5314,0.6274,0.7427,0.819,0.7788,0.848,0.8238,0.8346
7,300,sqrt,,,0.7271,0.9999,0.8257,0.7821,0.7271,0.7381,0.0308,0.1756,0.0001,0.2729,-0.2728,0.4126,0.1103,0.174,0.621,0.6707,0.6447,0.9497,0.9729,0.9602,0.9599,0.9482,0.954,0.9171,0.9636,0.9397,0.798,0.5,0.6108,0.7431,0.8226,0.7806,0.8557,0.8286,0.8412
7,100,sqrt,,,0.727,0.9999,0.8253,0.7763,0.727,0.7378,0.031,0.1762,0.0001,0.273,-0.273,0.3747,0.1093,0.1692,0.6225,0.6647,0.6428,0.9562,0.9729,0.9633,0.9612,0.9478,0.9545,0.9172,0.9626,0.9394,0.7783,0.5039,0.6091,0.7426,0.8262,0.782,0.858,0.8286,0.8423
8,300,log2,10.0,,0.7243,0.8121,0.8248,0.7945,0.7243,0.7302,0.031,0.1761,0.1879,0.2757,-0.0878,0.4389,0.0172,0.033,0.6272,0.6695,0.6474,0.962,0.9524,0.9555,0.965,0.9315,0.948,0.9199,0.9646,0.9417,0.8439,0.5745,0.6817,0.7142,0.8514,0.7766,0.8849,0.8333,0.8578
