kernel,C,gamma,class_weight,degree,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
linear,5.0,0.01,balanced,2,0.8139,0.834,0.8054,0.7483,0.8139,0.7596,0.0289,0.1699,0.166,0.1861,-0.0201,0.294,0.6822,0.4106,0.7645,0.4103,0.5329,0.9007,0.9664,0.9319,0.9781,0.9248,0.9508,0.9168,0.9472,0.9317,0.5952,0.8843,0.711,0.786,0.7871,0.7864,0.7511,0.9089,0.8218
linear,5.0,0.001,balanced,3,0.8139,0.834,0.8054,0.7483,0.8139,0.7596,0.0289,0.1699,0.166,0.1861,-0.0201,0.294,0.6822,0.4106,0.7645,0.4103,0.5329,0.9007,0.9664,0.9319,0.9781,0.9248,0.9508,0.9168,0.9472,0.9317,0.5952,0.8843,0.711,0.786,0.7871,0.7864,0.7511,0.9089,0.8218
rbf,50.0,0.1,balanced,3,0.8138,0.8927,0.8256,0.7709,0.8138,0.7806,0.027,0.1642,0.1073,0.1862,-0.0789,0.3206,0.6559,0.4302,0.7333,0.5045,0.5965,0.9056,0.9526,0.9279,0.9751,0.9464,0.9605,0.9317,0.9511,0.9412,0.6623,0.8039,0.7239,0.8129,0.7953,0.8039,0.8255,0.9005,0.8606
rbf,10.0,0.01,balanced,2,0.811,0.8222,0.7932,0.7269,0.811,0.7429,0.0292,0.1709,0.1778,0.189,-0.0112,0.2838,0.6863,0.4015,0.7725,0.3943,0.5217,0.8234,0.9933,0.8995,0.9815,0.9099,0.9443,0.9063,0.9451,0.9252,0.5371,0.8922,0.6702,0.7693,0.7652,0.7671,0.7414,0.9017,0.8134
linear,1.0,0.001,balanced,2,0.8101,0.8257,0.7967,0.7324,0.8101,0.7479,0.0296,0.1722,0.1743,0.1899,-0.0156,0.2908,0.6842,0.408,0.763,0.4109,0.5335,0.8649,0.9864,0.9213,0.978,0.9185,0.9473,0.9095,0.9337,0.9214,0.5553,0.8804,0.6806,0.7775,0.77,0.7737,0.7199,0.8969,0.7977
rbf,1.0,0.05,balanced,3,0.8101,0.8211,0.7908,0.7195,0.8101,0.7374,0.0297,0.1723,0.1789,0.1899,-0.0111,0.2877,0.6964,0.407,0.7701,0.3862,0.5133,0.7811,1.0,0.8765,0.9858,0.9052,0.9438,0.9026,0.9407,0.9212,0.5362,0.8843,0.6669,0.7631,0.7694,0.7661,0.7295,0.8981,0.8046
linear,1.0,0.1,balanced,2,0.8101,0.8257,0.7967,0.7324,0.8101,0.7479,0.0296,0.1722,0.1743,0.1899,-0.0156,0.2908,0.6842,0.408,0.763,0.4109,0.5335,0.8649,0.9864,0.9213,0.978,0.9185,0.9473,0.9095,0.9337,0.9214,0.5553,0.8804,0.6806,0.7775,0.77,0.7737,0.7199,0.8969,0.7977
linear,1.0,0.01,balanced,2,0.8101,0.8257,0.7967,0.7324,0.8101,0.7479,0.0296,0.1722,0.1743,0.1899,-0.0156,0.2908,0.6842,0.408,0.763,0.4109,0.5335,0.8649,0.9864,0.9213,0.978,0.9185,0.9473,0.9095,0.9337,0.9214,0.5553,0.8804,0.6806,0.7775,0.77,0.7737,0.7199,0.8969,0.7977
rbf,1.0,0.05,balanced,2,0.8101,0.8211,0.7908,0.7195,0.8101,0.7374,0.0297,0.1723,0.1789,0.1899,-0.0111,0.2877,0.6964,0.407,0.7701,0.3862,0.5133,0.7811,1.0,0.8765,0.9858,0.9052,0.9438,0.9026,0.9407,0.9212,0.5362,0.8843,0.6669,0.7631,0.7694,0.7661,0.7295,0.8981,0.8046
linear,1.0,0.05,balanced,2,0.8101,0.8257,0.7967,0.7324,0.8101,0.7479,0.0296,0.1722,0.1743,0.1899,-0.0156,0.2908,0.6842,0.408,0.763,0.4109,0.5335,0.8649,0.9864,0.9213,0.978,0.9185,0.9473,0.9095,0.9337,0.9214,0.5553,0.8804,0.6806,0.7775,0.77,0.7737,0.7199,0.8969,0.7977
