kernel,C,gamma,class_weight,degree,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
poly,10.0,scale,,2,0.706,0.7341,0.8051,0.7598,0.706,0.7068,0.0358,0.189,0.2659,0.294,-0.028,0.34,0.0031,0.006,0.6521,0.5729,0.6098,0.9117,0.9598,0.9344,0.9655,0.8955,0.9292,0.8786,0.9547,0.9149,0.7612,0.5706,0.651,0.6668,0.8958,0.7644,0.9022,0.7962,0.8452
rbf,0.5,0.001,balanced,2,0.7038,0.7005,0.6306,0.6186,0.7038,0.5629,0.0461,0.2148,0.2995,0.2962,0.0034,0.1691,0.8462,0.2815,0.8935,0.0795,0.1456,0.6129,1.0,0.7567,0.9277,0.8887,0.9078,0.8058,0.7869,0.7962,0.2941,0.7451,0.4214,0.6975,0.4223,0.5238,0.5479,0.8621,0.6699
rbf,0.5,0.001,balanced,3,0.7038,0.7005,0.6306,0.6186,0.7038,0.5629,0.0461,0.2148,0.2995,0.2962,0.0034,0.1691,0.8462,0.2815,0.8935,0.0795,0.1456,0.6129,1.0,0.7567,0.9277,0.8887,0.9078,0.8058,0.7869,0.7962,0.2941,0.7451,0.4214,0.6975,0.4223,0.5238,0.5479,0.8621,0.6699
poly,1.0,0.05,balanced,2,0.6987,0.7088,0.6874,0.655,0.6987,0.6397,0.0485,0.2203,0.2912,0.3013,-0.0101,0.2816,0.418,0.3343,0.6593,0.1535,0.2457,0.814,0.9933,0.8939,0.9787,0.7408,0.8431,0.825,0.8289,0.8268,0.4291,0.7804,0.5529,0.5394,0.8702,0.6658,0.7128,0.8046,0.755
linear,0.1,auto,,2,0.696,0.6918,0.8124,0.7136,0.696,0.6933,0.032,0.1789,0.3082,0.304,0.0043,0.0,0.0,0.0,0.6282,0.6333,0.6305,0.9003,0.9526,0.925,0.9708,0.9223,0.9459,0.8496,0.9605,0.9016,0.8556,0.4138,0.5563,0.7211,0.8584,0.7837,0.783,0.8274,0.8036
linear,0.1,scale,,2,0.696,0.6918,0.8124,0.7136,0.696,0.6933,0.032,0.1789,0.3082,0.304,0.0043,0.0,0.0,0.0,0.6282,0.6333,0.6305,0.9003,0.9526,0.925,0.9708,0.9223,0.9459,0.8496,0.9605,0.9016,0.8556,0.4138,0.5563,0.7211,0.8584,0.7837,0.783,0.8274,0.8036
linear,0.1,scale,,3,0.696,0.6918,0.8124,0.7136,0.696,0.6933,0.032,0.1789,0.3082,0.304,0.0043,0.0,0.0,0.0,0.6282,0.6333,0.6305,0.9003,0.9526,0.925,0.9708,0.9223,0.9459,0.8496,0.9605,0.9016,0.8556,0.4138,0.5563,0.7211,0.8584,0.7837,0.783,0.8274,0.8036
poly,5.0,auto,,2,0.6953,0.7192,0.7947,0.7163,0.6953,0.696,0.0368,0.1918,0.2808,0.3047,-0.0239,0.05,0.001,0.002,0.6533,0.5334,0.5871,0.9069,0.9664,0.9353,0.9633,0.8822,0.9209,0.8693,0.9516,0.9085,0.7449,0.5353,0.6222,0.6459,0.9024,0.7528,0.8971,0.7902,0.8391
poly,5.0,auto,,3,0.6937,0.7204,0.7886,0.7622,0.6937,0.6993,0.0362,0.1901,0.2796,0.3063,-0.0267,0.3262,0.0152,0.0289,0.6737,0.4768,0.558,0.9178,0.9529,0.9342,0.9883,0.8614,0.9205,0.9037,0.9378,0.9204,0.7873,0.5392,0.639,0.6034,0.945,0.7365,0.8972,0.8214,0.8569
poly,5.0,0.1,,3,0.6937,0.7204,0.7886,0.7622,0.6937,0.6993,0.0362,0.1901,0.2796,0.3063,-0.0267,0.3262,0.0152,0.0289,0.6737,0.4768,0.558,0.9178,0.9529,0.9342,0.9883,0.8614,0.9205,0.9037,0.9378,0.9204,0.7873,0.5392,0.639,0.6034,0.945,0.7365,0.8972,0.8214,0.8569
rbf,0.5,0.05,,3,0.69,0.6927,0.8146,0.7303,0.69,0.6906,0.0308,0.1756,0.3073,0.31,-0.0027,0.0,0.0,0.0,0.635,0.6204,0.6274,0.9254,0.9529,0.9378,0.9769,0.9226,0.9489,0.852,0.974,0.9088,0.9353,0.3431,0.4978,0.7109,0.8704,0.7825,0.8072,0.8369,0.8216
poly,0.5,0.05,balanced,2,0.6803,0.6876,0.6631,0.6505,0.6803,0.6152,0.0519,0.2278,0.3124,0.3197,-0.0073,0.2609,0.4303,0.3179,0.7658,0.1225,0.2088,0.7736,0.9933,0.8683,0.9752,0.7275,0.8331,0.8132,0.7592,0.7852,0.4013,0.7529,0.5222,0.5145,0.864,0.644,0.6998,0.7926,0.7422
poly,10.0,0.05,,2,0.68,0.6914,0.78,0.7143,0.68,0.681,0.0383,0.1956,0.3086,0.32,-0.0114,0.1,0.001,0.002,0.6522,0.478,0.5511,0.9053,0.9795,0.9392,0.9592,0.8673,0.9109,0.8555,0.9463,0.8986,0.7398,0.4941,0.5903,0.6194,0.9076,0.7362,0.8829,0.7662,0.8194
poly,10.0,0.01,balanced,2,0.6715,0.6805,0.6534,0.6536,0.6715,0.6052,0.0529,0.23,0.3195,0.3285,-0.009,0.2595,0.4202,0.3104,0.8438,0.1099,0.1926,0.7593,0.9933,0.8588,0.9699,0.7226,0.828,0.8124,0.7358,0.7721,0.3947,0.7412,0.5136,0.502,0.8604,0.6325,0.6875,0.789,0.7336
poly,0.1,auto,balanced,2,0.6715,0.6805,0.6534,0.6536,0.6715,0.6052,0.0529,0.23,0.3195,0.3285,-0.0089,0.2595,0.4202,0.3104,0.8438,0.1099,0.1926,0.7593,0.9933,0.8588,0.9699,0.7226,0.828,0.8123,0.7356,0.772,0.3947,0.7412,0.5136,0.5019,0.8604,0.6324,0.6875,0.789,0.7336
poly,100.0,0.01,balanced,3,0.6536,0.6683,0.6129,0.693,0.6536,0.601,0.0468,0.2163,0.3317,0.3464,-0.0146,0.1605,0.5712,0.2373,0.896,0.1207,0.2116,0.8236,0.9933,0.8995,0.9941,0.7151,0.8318,0.9088,0.6187,0.7359,0.4667,0.6667,0.5463,0.521,0.7652,0.5711,0.7732,0.7782,0.7745
poly,0.1,auto,balanced,3,0.6536,0.6683,0.6129,0.693,0.6536,0.601,0.0468,0.2163,0.3317,0.3464,-0.0146,0.1605,0.5712,0.2373,0.896,0.1207,0.2116,0.8236,0.9933,0.8995,0.9941,0.7151,0.8318,0.9088,0.6187,0.7359,0.4667,0.6667,0.5463,0.521,0.7652,0.5711,0.7732,0.7782,0.7745
poly,100.0,0.01,,2,0.6525,0.6592,0.7563,0.6872,0.6525,0.6537,0.0407,0.2018,0.3408,0.3475,-0.0068,0.0,0.0,0.0,0.6471,0.3962,0.4906,0.8792,0.9729,0.9232,0.9546,0.8427,0.8951,0.8334,0.9359,0.8816,0.7376,0.4196,0.5332,0.5811,0.9138,0.7103,0.8645,0.7386,0.7957
poly,5.0,0.01,balanced,2,0.6492,0.6587,0.6012,0.6431,0.6492,0.569,0.056,0.2366,0.3413,0.3508,-0.0096,0.1723,0.5994,0.2579,0.9256,0.087,0.1583,0.714,1.0,0.8323,0.9578,0.7089,0.8145,0.8168,0.6325,0.7128,0.377,0.6589,0.478,0.514,0.7287,0.5811,0.6672,0.7782,0.7174
poly,5.0,0.05,,3,0.6365,0.6478,0.7412,0.7146,0.6365,0.6469,0.0392,0.198,0.3522,0.3635,-0.0113,0.0286,0.001,0.002,0.6847,0.3275,0.4422,0.9301,0.9595,0.9438,0.9893,0.8161,0.8944,0.8877,0.8966,0.892,0.7832,0.3804,0.5113,0.5235,0.9651,0.6787,0.8899,0.7458,0.8107
rbf,0.1,auto,,2,0.6324,0.6379,0.7894,0.6257,0.6324,0.6137,0.033,0.1816,0.3621,0.3676,-0.0056,0.0,0.0,0.0,0.6103,0.5454,0.5756,0.9546,0.946,0.9491,0.9783,0.9089,0.9423,0.8127,0.9723,0.8854,0.2,0.002,0.0039,0.6731,0.8702,0.759,0.7765,0.8141,0.7947
poly,0.5,0.1,,3,0.6298,0.6359,0.7351,0.7145,0.6298,0.6399,0.0399,0.1996,0.3641,0.3702,-0.0062,0.0333,0.001,0.002,0.6905,0.3107,0.4276,0.9246,0.9595,0.9407,0.9894,0.8096,0.8905,0.8841,0.8911,0.8874,0.7933,0.3588,0.4934,0.5147,0.9665,0.6716,0.8862,0.741,0.8062
poly,0.5,scale,,3,0.6298,0.6359,0.7351,0.7145,0.6298,0.6399,0.0399,0.1996,0.3641,0.3702,-0.0062,0.0333,0.001,0.002,0.6905,0.3107,0.4276,0.9246,0.9595,0.9407,0.9894,0.8096,0.8905,0.8841,0.8911,0.8874,0.7933,0.3588,0.4934,0.5147,0.9665,0.6716,0.8862,0.741,0.8062
poly,0.5,auto,,3,0.6298,0.6359,0.7351,0.7145,0.6298,0.6399,0.0399,0.1996,0.3641,0.3702,-0.0062,0.0333,0.001,0.002,0.6905,0.3107,0.4276,0.9246,0.9595,0.9407,0.9894,0.8096,0.8905,0.8841,0.8911,0.8874,0.7933,0.3588,0.4934,0.5147,0.9665,0.6716,0.8862,0.741,0.8062
poly,0.5,0.1,,2,0.6286,0.63,0.7376,0.6788,0.6286,0.6308,0.0431,0.2075,0.37,0.3714,-0.0013,0.0,0.0,0.0,0.6428,0.3296,0.435,0.8891,0.9664,0.9259,0.9522,0.8304,0.8871,0.8182,0.9205,0.8662,0.7506,0.3529,0.4791,0.5528,0.9183,0.69,0.8248,0.711,0.763
poly,0.5,auto,,2,0.6286,0.63,0.7376,0.6788,0.6286,0.6308,0.0431,0.2075,0.37,0.3714,-0.0013,0.0,0.0,0.0,0.6428,0.3296,0.435,0.8891,0.9664,0.9259,0.9522,0.8304,0.8871,0.8182,0.9205,0.8662,0.7506,0.3529,0.4791,0.5528,0.9183,0.69,0.8248,0.711,0.763
poly,50.0,0.01,,2,0.6286,0.63,0.7376,0.6785,0.6286,0.6307,0.0431,0.2075,0.37,0.3714,-0.0014,0.0,0.0,0.0,0.6428,0.3296,0.435,0.8891,0.9664,0.9259,0.9522,0.8304,0.8871,0.8182,0.9205,0.8663,0.7483,0.3529,0.4785,0.5528,0.9183,0.6901,0.8248,0.711,0.763
rbf,5.0,0.001,,2,0.6113,0.6136,0.7791,0.5844,0.6113,0.5933,0.0351,0.1875,0.3864,0.3887,-0.0023,0.0,0.0,0.0,0.6128,0.5087,0.5555,0.9355,0.8577,0.8931,0.9751,0.9022,0.9372,0.7983,0.9614,0.8723,0.0,0.0,0.0,0.6628,0.8759,0.7545,0.6903,0.7842,0.7339
poly,0.5,0.05,balanced,3,0.6075,0.6211,0.4921,0.6762,0.6075,0.5403,0.0489,0.2211,0.3789,0.3925,-0.0137,0.1085,0.8333,0.1759,0.9025,0.102,0.1826,0.8069,0.9933,0.889,0.9942,0.6784,0.8064,0.8956,0.538,0.672,0.4483,0.6235,0.518,0.4888,0.3261,0.3145,0.7648,0.765,0.764
poly,50.0,0.01,balanced,3,0.5908,0.6038,0.4647,0.674,0.5908,0.5209,0.0499,0.2234,0.3962,0.4092,-0.013,0.0985,0.8484,0.1648,0.9043,0.0981,0.1765,0.8014,0.9933,0.886,0.994,0.6559,0.7903,0.8928,0.5008,0.6415,0.4264,0.6039,0.4955,0.513,0.2717,0.2559,0.7615,0.7542,0.7568
poly,1.0,0.05,,3,0.5585,0.5645,0.6785,0.6857,0.5585,0.5615,0.0431,0.2075,0.4355,0.4415,-0.0059,0.0,0.0,0.0,0.6999,0.2107,0.3237,0.8826,0.9595,0.9192,0.9922,0.7716,0.8681,0.8548,0.7804,0.8158,0.7814,0.1373,0.2305,0.4519,0.9711,0.6167,0.8224,0.6379,0.7179
poly,0.1,scale,,3,0.5461,0.5495,0.6664,0.686,0.5461,0.5476,0.0437,0.209,0.4505,0.4539,-0.0034,0.0,0.0,0.0,0.6913,0.1932,0.3017,0.8826,0.9595,0.9192,0.9919,0.7625,0.8622,0.852,0.752,0.7988,0.817,0.1078,0.1894,0.4404,0.9721,0.6062,0.8127,0.6211,0.7035
poly,0.5,0.05,,2,0.5451,0.5486,0.6835,0.6498,0.5451,0.5343,0.0479,0.2188,0.4514,0.4549,-0.0035,0.0,0.0,0.0,0.6573,0.1698,0.2687,0.9172,0.9391,0.9267,0.9106,0.8066,0.8554,0.7858,0.8585,0.8205,0.7111,0.0568,0.1029,0.4893,0.9225,0.6394,0.727,0.6079,0.661
poly,0.1,scale,,2,0.5338,0.5356,0.6733,0.6345,0.5338,0.5188,0.0485,0.2203,0.4644,0.4662,-0.0018,0.0,0.0,0.0,0.6917,0.1487,0.2442,0.9172,0.9391,0.9267,0.8969,0.8016,0.8465,0.784,0.8363,0.8092,0.5936,0.0235,0.0438,0.4783,0.9229,0.6301,0.7143,0.5983,0.6501
poly,0.1,0.1,,2,0.5338,0.5356,0.6733,0.6345,0.5338,0.5188,0.0485,0.2203,0.4644,0.4662,-0.0018,0.0,0.0,0.0,0.6917,0.1487,0.2442,0.9172,0.9391,0.9267,0.8969,0.8016,0.8465,0.784,0.8363,0.8092,0.5936,0.0235,0.0438,0.4783,0.9229,0.6301,0.7143,0.5983,0.6501
poly,1.0,0.01,balanced,2,0.4789,0.4809,0.2728,0.5677,0.4789,0.3698,0.0721,0.2685,0.5191,0.5211,-0.002,0.068,0.9909,0.1273,0.9736,0.0704,0.1313,0.6737,1.0,0.8031,0.8425,0.4672,0.6009,0.8993,0.1232,0.2164,0.3249,0.4451,0.3741,0.1253,0.0195,0.0337,0.6345,0.7146,0.6719
poly,100.0,0.001,balanced,2,0.4786,0.4807,0.2721,0.5644,0.4786,0.3687,0.0721,0.2685,0.5193,0.5214,-0.0021,0.068,0.9909,0.1272,0.9736,0.0704,0.1313,0.6737,1.0,0.8031,0.8416,0.4672,0.6007,0.8957,0.1232,0.2163,0.3243,0.4451,0.3738,0.11,0.0165,0.0286,0.6287,0.7158,0.669
poly,25.0,0.01,,3,0.4565,0.464,0.5798,0.5992,0.4565,0.4545,0.0482,0.2196,0.536,0.5435,-0.0075,0.0,0.0,0.0,0.8104,0.1081,0.1902,0.9219,0.8982,0.9075,0.9927,0.7009,0.8216,0.7921,0.5143,0.6236,0.2,0.002,0.0039,0.3722,0.9749,0.5387,0.7045,0.4533,0.5504
rbf,0.1,0.001,balanced,3,0.4472,0.4513,0.2753,0.4939,0.4472,0.2716,0.0752,0.2743,0.5487,0.5528,-0.0041,0.0752,0.9929,0.1397,1.0,0.0141,0.0278,0.4986,1.0,0.6644,0.9933,0.5081,0.6268,0.869,0.1506,0.2537,0.1015,0.0059,0.011,0.1181,0.0044,0.0062,0.2952,0.9017,0.4434
poly,50.0,0.001,balanced,2,0.413,0.4136,0.1803,0.5687,0.413,0.3051,0.0844,0.2905,0.5864,0.587,-0.0006,0.0574,0.9949,0.1086,0.9903,0.0668,0.125,0.689,1.0,0.8149,0.7903,0.2489,0.3726,0.9054,0.0381,0.0719,0.3055,0.3451,0.3231,0.1991,0.0104,0.0195,0.613,0.5995,0.6054
poly,0.5,0.01,balanced,2,0.4058,0.4074,0.2792,0.5717,0.4058,0.3216,0.0843,0.2903,0.5926,0.5942,-0.0016,0.0226,0.398,0.0427,0.9903,0.0671,0.1256,0.689,1.0,0.8149,0.7651,0.249,0.3709,0.9207,0.0157,0.0307,0.3055,0.3451,0.3231,0.2681,0.5755,0.2618,0.6122,0.5959,0.6032
rbf,1.0,0.001,,2,0.4044,0.3986,0.7152,0.4117,0.4044,0.3859,0.0384,0.196,0.6014,0.5956,0.0058,0.0,0.0,0.0,0.6537,0.2562,0.3674,0.0,0.0,0.0,0.9552,0.9039,0.9288,0.6864,0.9682,0.8033,0.0,0.0,0.0,0.5696,0.8793,0.6913,0.429,0.2279,0.2964
poly,100.0,0.001,,2,0.3738,0.3697,0.5255,0.5341,0.3738,0.3566,0.0546,0.2337,0.6303,0.6262,0.0041,0.0,0.0,0.0,0.9793,0.0732,0.136,0.9694,0.8239,0.8898,0.6888,0.7965,0.7386,0.7851,0.202,0.3205,0.0,0.0,0.0,0.3886,0.952,0.5519,0.4619,0.1427,0.2166
rbf,0.5,0.001,,3,0.3559,0.3536,0.6808,0.3618,0.3559,0.3163,0.0405,0.2012,0.6464,0.6441,0.0024,0.0,0.0,0.0,0.8236,0.1189,0.207,0.0,0.0,0.0,0.9252,0.9135,0.9193,0.6144,0.9631,0.7502,0.0,0.0,0.0,0.5309,0.8519,0.6541,0.0,0.0,0.0
poly,25.0,0.001,balanced,2,0.3341,0.3308,0.0967,0.4286,0.3341,0.2255,0.0899,0.2999,0.6692,0.6659,0.0033,0.0507,0.997,0.0965,0.9953,0.0626,0.1177,0.6863,1.0,0.8128,0.05,0.0005,0.0009,0.4211,0.0685,0.1157,0.254,0.1118,0.147,0.3638,0.0082,0.0157,0.6076,0.4245,0.4977
poly,10.0,0.001,balanced,2,0.2783,0.273,0.2597,0.3143,0.2783,0.1928,0.0933,0.3055,0.727,0.7217,0.0054,0.0,0.0,0.0,0.9946,0.0572,0.108,0.7167,0.9864,0.8279,0.0,0.0,0.0,0.2587,0.054,0.0593,0.0,0.0,0.0,0.2489,0.9864,0.3965,0.2957,0.1426,0.1505
poly,0.1,0.01,balanced,2,0.2621,0.2555,0.0639,0.2706,0.2621,0.1388,0.0935,0.3058,0.7445,0.7379,0.0067,0.0473,1.0,0.0902,0.9946,0.0572,0.108,0.7086,0.9864,0.8228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1347,0.0016,0.0032,0.2796,0.0515,0.0862
poly,100.0,0.001,balanced,3,0.2524,0.2504,0.0616,0.2375,0.2524,0.1308,0.0913,0.3022,0.7496,0.7476,0.0019,0.0468,1.0,0.0894,0.9949,0.0581,0.1096,0.7579,0.9598,0.8453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0012,0.0024
poly,0.1,0.01,balanced,3,0.2524,0.2505,0.0616,0.2375,0.2524,0.1308,0.0917,0.3028,0.7495,0.7476,0.0019,0.0468,1.0,0.0894,0.9949,0.0581,0.1096,0.7579,0.9598,0.8453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0012,0.0024
poly,5.0,0.001,balanced,2,0.2515,0.2501,0.2459,0.2475,0.2515,0.165,0.0941,0.3068,0.7499,0.7485,0.0014,0.0,0.0,0.0,1.0,0.0539,0.102,0.7453,0.9595,0.8377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.235,0.9984,0.3805,0.0,0.0,0.0
poly,1.0,0.01,,3,0.246,0.2468,0.3433,0.4233,0.246,0.2107,0.056,0.2367,0.7532,0.754,-0.0008,0.0,0.0,0.0,0.9957,0.0686,0.1282,1.0,0.7901,0.8817,0.3218,1.0,0.4869,0.6684,0.1039,0.1794,0.0,0.0,0.0,0.4003,0.0048,0.0095,0.0,0.0,0.0
poly,25.0,0.001,balanced,3,0.2248,0.2249,0.0587,0.2523,0.2248,0.1284,0.0919,0.3032,0.7751,0.7752,-0.0001,0.0465,1.0,0.0889,1.0,0.0491,0.0934,0.9723,0.7497,0.8446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poly,1.0,0.001,balanced,2,0.1925,0.1956,0.2399,0.2779,0.1925,0.1379,0.0984,0.3136,0.8044,0.8075,-0.003,0.0,0.0,0.0,1.0,0.0325,0.0627,0.99,0.5078,0.6618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2334,1.0,0.3784,0.0,0.0,0.0
poly,10.0,0.001,,2,0.1326,0.1304,0.3155,0.1901,0.1326,0.0733,0.0574,0.2396,0.8696,0.8674,0.0021,0.0,0.0,0.0,0.995,0.0599,0.1128,0.0,0.0,0.0,0.3092,1.0,0.4723,0.0,0.0,0.0,0.0,0.0,0.0,0.2167,0.0006,0.0012,0.0,0.0,0.0
poly,5.0,0.001,,2,0.1317,0.1301,0.3145,0.1678,0.1317,0.0718,0.0585,0.2418,0.8699,0.8683,0.0017,0.0,0.0,0.0,1.0,0.0539,0.1021,0.0,0.0,0.0,0.3089,1.0,0.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0333,0.0002,0.0004,0.0,0.0,0.0
poly,10.0,0.001,,3,0.1304,0.1292,0.3128,0.1635,0.1304,0.0694,0.0749,0.2736,0.8708,0.8696,0.0012,0.0,0.0,0.0,1.0,0.0437,0.0835,0.0,0.0,0.0,0.3082,1.0,0.4712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poly,5.0,0.001,,3,0.1294,0.1281,0.3115,0.1635,0.1294,0.0672,0.0801,0.2829,0.8719,0.8706,0.0013,0.0,0.0,0.0,1.0,0.0349,0.0672,0.0,0.0,0.0,0.3078,1.0,0.4707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poly,1.0,0.001,,2,0.1293,0.128,0.3114,0.1635,0.1293,0.0671,0.0669,0.2583,0.872,0.8707,0.0013,0.0,0.0,0.0,1.0,0.0343,0.0661,0.0,0.0,0.0,0.3078,1.0,0.4707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poly,5.0,0.001,balanced,3,0.1292,0.1278,0.2365,0.1541,0.1292,0.0552,0.0963,0.3103,0.8722,0.8708,0.0013,0.0,0.0,0.0,1.0,0.0334,0.0644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2326,1.0,0.3774,0.0,0.0,0.0
poly,0.5,0.001,balanced,3,0.1261,0.1257,0.2327,0.154,0.1261,0.0491,0.0985,0.3139,0.8743,0.8739,0.0003,0.0,0.0,0.0,1.0,0.0084,0.0166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2317,1.0,0.3762,0.0,0.0,0.0
poly,0.1,0.001,,2,0.1252,0.1251,0.3063,0.0633,0.1252,0.0589,0.0782,0.2795,0.8749,0.8748,0.0001,0.0,0.0,0.0,0.2,0.0012,0.0024,0.0,0.0,0.0,0.3062,1.0,0.4688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poly,0.1,0.001,,3,0.1252,0.1251,0.3063,0.0633,0.1252,0.0589,0.083,0.2881,0.8749,0.8748,0.0,0.0,0.0,0.0,0.2,0.0012,0.0024,0.0,0.0,0.0,0.3062,1.0,0.4688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
