n_components,solver,shrinkage,tol,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
7,lsqr,,0.01,0.6568,0.6573,0.7776,0.7092,0.6568,0.6377,0.0393,0.1981,0.3427,0.3432,-0.0005,0.4823,0.0304,0.057,0.5864,0.6066,0.5962,0.8718,0.9931,0.928,0.9467,0.9077,0.9268,0.8846,0.9426,0.9127,0.6294,0.1667,0.2626,0.6632,0.7776,0.7158,0.6093,0.8298,0.7024
7,eigen,,0.001,0.6568,0.6573,0.7776,0.7092,0.6568,0.6377,0.0393,0.1981,0.3427,0.3432,-0.0005,0.4823,0.0304,0.057,0.5864,0.6066,0.5962,0.8718,0.9931,0.928,0.9467,0.9077,0.9268,0.8846,0.9426,0.9127,0.6294,0.1667,0.2626,0.6632,0.7776,0.7158,0.6093,0.8298,0.7024
7,lsqr,,0.001,0.6568,0.6573,0.7776,0.7092,0.6568,0.6377,0.0393,0.1981,0.3427,0.3432,-0.0005,0.4823,0.0304,0.057,0.5864,0.6066,0.5962,0.8718,0.9931,0.928,0.9467,0.9077,0.9268,0.8846,0.9426,0.9127,0.6294,0.1667,0.2626,0.6632,0.7776,0.7158,0.6093,0.8298,0.7024
7,eigen,,0.01,0.6568,0.6573,0.7776,0.7092,0.6568,0.6377,0.0393,0.1981,0.3427,0.3432,-0.0005,0.4823,0.0304,0.057,0.5864,0.6066,0.5962,0.8718,0.9931,0.928,0.9467,0.9077,0.9268,0.8846,0.9426,0.9127,0.6294,0.1667,0.2626,0.6632,0.7776,0.7158,0.6093,0.8298,0.7024
7,eigen,auto,0.01,0.6529,0.6532,0.7758,0.7065,0.6529,0.6322,0.0394,0.1984,0.3468,0.3471,-0.0003,0.4837,0.0304,0.057,0.5849,0.5933,0.5889,0.8666,0.9931,0.925,0.946,0.9072,0.9262,0.8826,0.9443,0.9124,0.6209,0.1432,0.2315,0.6587,0.7804,0.7143,0.6085,0.831,0.7023
7,lsqr,auto,0.001,0.6529,0.6532,0.7758,0.7065,0.6529,0.6322,0.0394,0.1984,0.3468,0.3471,-0.0003,0.4837,0.0304,0.057,0.5849,0.5933,0.5889,0.8666,0.9931,0.925,0.946,0.9072,0.9262,0.8826,0.9443,0.9124,0.6209,0.1432,0.2315,0.6587,0.7804,0.7143,0.6085,0.831,0.7023
7,lsqr,auto,0.0001,0.6529,0.6532,0.7758,0.7065,0.6529,0.6322,0.0394,0.1984,0.3468,0.3471,-0.0003,0.4837,0.0304,0.057,0.5849,0.5933,0.5889,0.8666,0.9931,0.925,0.946,0.9072,0.9262,0.8826,0.9443,0.9124,0.6209,0.1432,0.2315,0.6587,0.7804,0.7143,0.6085,0.831,0.7023
7,eigen,auto,0.0001,0.6529,0.6532,0.7758,0.7065,0.6529,0.6322,0.0394,0.1984,0.3468,0.3471,-0.0003,0.4837,0.0304,0.057,0.5849,0.5933,0.5889,0.8666,0.9931,0.925,0.946,0.9072,0.9262,0.8826,0.9443,0.9124,0.6209,0.1432,0.2315,0.6587,0.7804,0.7143,0.6085,0.831,0.7023
7,eigen,auto,0.001,0.6529,0.6532,0.7758,0.7065,0.6529,0.6322,0.0394,0.1984,0.3468,0.3471,-0.0003,0.4837,0.0304,0.057,0.5849,0.5933,0.5889,0.8666,0.9931,0.925,0.946,0.9072,0.9262,0.8826,0.9443,0.9124,0.6209,0.1432,0.2315,0.6587,0.7804,0.7143,0.6085,0.831,0.7023
9,lsqr,0.3,0.001,0.6495,0.6491,0.7638,0.7176,0.6495,0.6336,0.0402,0.2004,0.3509,0.3505,0.0004,0.4267,0.0132,0.0255,0.6369,0.4248,0.5094,0.9143,1.0,0.955,0.9266,0.9093,0.9179,0.8682,0.9518,0.908,0.7556,0.2294,0.3494,0.6057,0.8244,0.6983,0.6068,0.8429,0.7055
