n_components,kernel,C,gamma,class_weight,degree,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
4,linear,0.5,0.01,,3,0.5885,0.596,0.7382,0.5635,0.5885,0.5689,0.0444,0.2106,0.404,0.4115,-0.0075,0.0,0.0,0.0,0.5415,0.3384,0.4154,0.8771,0.9189,0.8931,0.9131,0.9065,0.9097,0.8784,0.9636,0.919,0.0,0.0,0.0,0.5481,0.8049,0.652,0.7496,0.7758,0.7621
3,rbf,100.0,0.1,,3,0.5843,0.6157,0.7403,0.612,0.5843,0.5745,0.0448,0.2116,0.3843,0.4157,-0.0315,0.0667,0.001,0.002,0.5628,0.2998,0.3909,0.8915,0.8504,0.8679,0.9144,0.9038,0.909,0.8681,0.9658,0.9143,0.2451,0.0471,0.0672,0.5513,0.8401,0.6657,0.7961,0.7662,0.7794
4,linear,0.1,0.1,,3,0.5807,0.5851,0.7346,0.5571,0.5807,0.5608,0.0448,0.2117,0.4149,0.4193,-0.0044,0.0,0.0,0.0,0.5403,0.3076,0.3907,0.8706,0.8782,0.8732,0.9111,0.9051,0.908,0.8631,0.9636,0.9106,0.0,0.0,0.0,0.5476,0.8124,0.6541,0.7238,0.7782,0.7498
5,rbf,0.1,auto,,3,0.5804,0.5918,0.7503,0.5934,0.5804,0.5765,0.0415,0.2037,0.4082,0.4196,-0.0114,0.0,0.0,0.0,0.6053,0.3597,0.45,1.0,0.7825,0.8743,0.929,0.9019,0.9152,0.8689,0.9713,0.9173,0.0,0.0,0.0,0.5574,0.8455,0.6718,0.7865,0.7818,0.7833
4,rbf,50.0,0.001,,3,0.5803,0.5872,0.7354,0.5635,0.5803,0.5634,0.0443,0.2105,0.4128,0.4197,-0.0069,0.0,0.0,0.0,0.5489,0.3064,0.3921,0.9166,0.8715,0.8923,0.9117,0.9046,0.9081,0.8622,0.9646,0.9105,0.0,0.0,0.0,0.5475,0.817,0.6555,0.7212,0.7782,0.7484
5,rbf,1.0,0.01,,3,0.5801,0.5889,0.7458,0.5816,0.5801,0.5709,0.0416,0.2041,0.4111,0.4199,-0.0088,0.0,0.0,0.0,0.5864,0.3444,0.433,1.0,0.7961,0.8834,0.9234,0.9051,0.9141,0.8654,0.9694,0.9144,0.0,0.0,0.0,0.558,0.8311,0.6676,0.7191,0.795,0.7548
3,rbf,100.0,0.01,,3,0.5796,0.5902,0.7386,0.5739,0.5796,0.5662,0.0439,0.2096,0.4098,0.4204,-0.0107,0.0,0.0,0.0,0.5632,0.2899,0.3827,0.9004,0.8708,0.8829,0.9163,0.9009,0.9084,0.8737,0.9677,0.9183,0.0,0.0,0.0,0.5412,0.8471,0.6605,0.7967,0.7602,0.7773
3,linear,5.0,0.05,,3,0.5753,0.5853,0.733,0.5612,0.5753,0.5626,0.0455,0.2132,0.4147,0.4247,-0.01,0.0,0.0,0.0,0.499,0.3338,0.3995,0.871,0.878,0.8735,0.9084,0.9066,0.9074,0.8718,0.9612,0.9143,0.0,0.0,0.0,0.5498,0.7971,0.6507,0.7896,0.7255,0.7551
5,poly,25.0,0.05,,3,0.5734,0.5852,0.7183,0.6188,0.5734,0.5626,0.0454,0.2131,0.4148,0.4266,-0.0118,0.1615,0.0051,0.0096,0.6456,0.2203,0.328,0.9203,0.9655,0.9407,0.9739,0.8315,0.897,0.9215,0.9294,0.9254,0.0,0.0,0.0,0.4814,0.9359,0.6357,0.8458,0.6991,0.7644
3,linear,100.0,0.01,,3,0.5733,0.5866,0.7325,0.5555,0.5733,0.5581,0.0453,0.2129,0.4134,0.4267,-0.0133,0.0,0.0,0.0,0.4975,0.3347,0.3996,0.813,0.8777,0.8406,0.908,0.9069,0.9074,0.8712,0.9615,0.9141,0.0,0.0,0.0,0.5497,0.7963,0.6504,0.8048,0.7098,0.7529
3,linear,25.0,scale,,3,0.5732,0.5851,0.7326,0.5565,0.5732,0.5588,0.0455,0.2132,0.4149,0.4268,-0.0119,0.0,0.0,0.0,0.4978,0.3341,0.3993,0.8238,0.8711,0.8442,0.908,0.9069,0.9074,0.8713,0.9617,0.9142,0.0,0.0,0.0,0.5495,0.7961,0.6502,0.8017,0.7158,0.755
3,linear,1.0,0.01,,2,0.5722,0.5767,0.7325,0.5589,0.5722,0.5594,0.0455,0.2134,0.4233,0.4278,-0.0045,0.0,0.0,0.0,0.4998,0.3293,0.3964,0.8676,0.8508,0.8548,0.9085,0.9063,0.9074,0.8711,0.961,0.9139,0.0,0.0,0.0,0.5495,0.7981,0.6508,0.7749,0.7326,0.7522
3,linear,1.0,0.1,,2,0.5722,0.5767,0.7325,0.5589,0.5722,0.5594,0.0455,0.2134,0.4233,0.4278,-0.0045,0.0,0.0,0.0,0.4998,0.3293,0.3964,0.8676,0.8508,0.8548,0.9085,0.9063,0.9074,0.8711,0.961,0.9139,0.0,0.0,0.0,0.5495,0.7981,0.6508,0.7749,0.7326,0.7522
3,linear,0.5,auto,,3,0.5719,0.5783,0.7318,0.5582,0.5719,0.5587,0.0455,0.2134,0.4217,0.4281,-0.0064,0.0,0.0,0.0,0.5004,0.326,0.3941,0.8736,0.8508,0.8576,0.909,0.9054,0.9072,0.8687,0.9607,0.9124,0.0,0.0,0.0,0.5489,0.7985,0.6505,0.7648,0.7338,0.7479
7,rbf,5.0,0.001,,2,0.5718,0.5753,0.7676,0.5898,0.5718,0.5693,0.0364,0.1907,0.4247,0.4282,-0.0036,0.0,0.0,0.0,0.6042,0.444,0.5113,1.0,0.6142,0.7565,0.954,0.911,0.9319,0.8588,0.9704,0.9112,0.0,0.0,0.0,0.6047,0.859,0.7097,0.697,0.7758,0.7338
5,poly,0.5,0.05,balanced,3,0.5647,0.5734,0.5329,0.6517,0.5647,0.5078,0.0504,0.2246,0.4266,0.4353,-0.0087,0.1601,0.2657,0.1206,0.9314,0.081,0.1489,0.8113,1.0,0.895,0.9928,0.6547,0.7891,0.9537,0.6303,0.7589,0.138,0.598,0.211,0.491,0.5986,0.4275,0.7354,0.6894,0.7113
8,poly,1.0,0.05,,2,0.5621,0.5621,0.6939,0.6716,0.5621,0.5502,0.0458,0.2141,0.4379,0.4379,-0.0001,0.0,0.0,0.0,0.6931,0.1526,0.2497,0.9735,0.9531,0.9627,0.8877,0.8246,0.8549,0.8979,0.8599,0.8784,0.6879,0.049,0.0853,0.4801,0.9353,0.6345,0.7524,0.7218,0.7365
4,poly,10.0,0.1,,3,0.562,0.578,0.7158,0.5959,0.562,0.5486,0.0474,0.2177,0.422,0.438,-0.016,0.1111,0.0051,0.0097,0.5832,0.2017,0.2991,0.834,0.9048,0.8646,0.9602,0.8466,0.8998,0.905,0.9207,0.9127,0.04,0.0039,0.0071,0.4886,0.9283,0.6402,0.845,0.6847,0.7554
3,poly,10.0,auto,,3,0.5557,0.574,0.7153,0.6019,0.5557,0.5457,0.049,0.2213,0.426,0.4443,-0.0183,0.0,0.0,0.0,0.5262,0.205,0.294,0.8509,0.8908,0.8664,0.9495,0.8617,0.9033,0.9023,0.9115,0.9067,0.2333,0.0059,0.0115,0.4957,0.9184,0.6438,0.8568,0.6523,0.7403
5,poly,1.0,0.1,,2,0.553,0.5614,0.6885,0.5825,0.553,0.5322,0.0514,0.2267,0.4386,0.447,-0.0085,0.0,0.0,0.0,0.7112,0.1177,0.2015,0.959,0.9398,0.9488,0.8876,0.8334,0.8595,0.8708,0.8845,0.8775,0.0,0.0,0.0,0.4692,0.905,0.618,0.7625,0.7434,0.7525
2,rbf,0.1,auto,balanced,2,0.5448,0.5615,0.5951,0.4672,0.5448,0.4451,0.0515,0.227,0.4385,0.4552,-0.0166,0.096,0.1965,0.1272,0.5617,0.1797,0.2662,0.2122,0.749,0.3283,0.9424,0.8605,0.8994,0.8728,0.6481,0.7432,0.0929,0.4745,0.1552,0.6113,0.5456,0.5756,0.3481,0.705,0.4659
2,rbf,1.0,auto,balanced,3,0.5396,0.5713,0.5877,0.4757,0.5396,0.4385,0.0517,0.2272,0.4287,0.4604,-0.0317,0.0933,0.1995,0.1248,0.6321,0.1454,0.233,0.2209,0.7356,0.3331,0.9438,0.86,0.8998,0.8772,0.6462,0.7429,0.086,0.4902,0.1457,0.6127,0.5372,0.5712,0.3396,0.7026,0.4575
2,linear,100.0,0.05,balanced,3,0.5366,0.5422,0.6153,0.4641,0.5366,0.4521,0.0508,0.2253,0.4578,0.4634,-0.0056,0.0956,0.1661,0.1208,0.5623,0.1951,0.2882,0.2211,0.729,0.3373,0.9303,0.8779,0.9032,0.8642,0.6741,0.7569,0.0921,0.3686,0.1474,0.5921,0.5988,0.5953,0.3554,0.6835,0.4676
2,linear,100.0,scale,balanced,2,0.5366,0.5422,0.6153,0.4641,0.5366,0.4521,0.0508,0.2253,0.4578,0.4634,-0.0056,0.0956,0.1661,0.1208,0.5623,0.1951,0.2882,0.2211,0.729,0.3373,0.9303,0.8779,0.9032,0.8642,0.6741,0.7569,0.0921,0.3686,0.1474,0.5921,0.5988,0.5953,0.3554,0.6835,0.4676
2,linear,25.0,0.1,balanced,2,0.5365,0.5424,0.6152,0.4641,0.5365,0.4519,0.0507,0.2253,0.4576,0.4635,-0.0059,0.096,0.1671,0.1213,0.5624,0.1951,0.2882,0.2211,0.729,0.3373,0.9307,0.8779,0.9034,0.864,0.6732,0.7562,0.0921,0.3686,0.1474,0.5921,0.599,0.5954,0.3542,0.6823,0.4662
2,linear,25.0,0.05,balanced,2,0.5365,0.5424,0.6152,0.4641,0.5365,0.4519,0.0507,0.2253,0.4576,0.4635,-0.0059,0.096,0.1671,0.1213,0.5624,0.1951,0.2882,0.2211,0.729,0.3373,0.9307,0.8779,0.9034,0.864,0.6732,0.7562,0.0921,0.3686,0.1474,0.5921,0.599,0.5954,0.3542,0.6823,0.4662
2,linear,0.1,scale,balanced,3,0.5357,0.539,0.6144,0.4629,0.5357,0.4492,0.0506,0.2249,0.461,0.4643,-0.0033,0.0941,0.156,0.1158,0.5633,0.1909,0.2834,0.2172,0.7221,0.3321,0.9358,0.8733,0.9034,0.8653,0.6652,0.7514,0.0904,0.3706,0.1453,0.5914,0.6109,0.6007,0.3456,0.6966,0.4616
3,poly,1.0,0.1,,3,0.5323,0.5404,0.6889,0.5833,0.5323,0.5243,0.0487,0.2207,0.4596,0.4677,-0.0082,0.0,0.0,0.0,0.6328,0.1451,0.2359,0.8976,0.8439,0.8649,0.9774,0.8026,0.8813,0.9083,0.8812,0.8945,0.0,0.0,0.0,0.4515,0.9534,0.6127,0.7987,0.6319,0.7046
2,rbf,100.0,auto,balanced,2,0.5304,0.597,0.5804,0.4611,0.5304,0.4287,0.0527,0.2296,0.403,0.4696,-0.0666,0.0952,0.1811,0.121,0.5767,0.1719,0.2566,0.184,0.7421,0.2891,0.9466,0.8567,0.8991,0.868,0.6228,0.7238,0.0793,0.4588,0.135,0.6114,0.5207,0.5624,0.3279,0.6894,0.4427
3,poly,100.0,scale,,2,0.5285,0.5473,0.679,0.5549,0.5285,0.5083,0.0544,0.2331,0.4527,0.4715,-0.0188,0.0,0.0,0.0,0.6507,0.1174,0.198,0.8159,0.871,0.8375,0.8736,0.8338,0.853,0.8389,0.8915,0.8642,0.0,0.0,0.0,0.4658,0.8775,0.6084,0.794,0.6367,0.7055
9,poly,10.0,0.01,,2,0.5243,0.5219,0.6703,0.6009,0.5243,0.5127,0.0475,0.218,0.4781,0.4757,0.0024,0.0,0.0,0.0,0.855,0.0993,0.1778,0.9856,0.8989,0.9396,0.8771,0.8087,0.8415,0.9072,0.8195,0.861,0.0,0.0,0.0,0.4512,0.9472,0.6113,0.7308,0.6211,0.6707
8,poly,10.0,0.01,,2,0.5238,0.5214,0.6695,0.6005,0.5238,0.512,0.0479,0.2187,0.4786,0.4762,0.0024,0.0,0.0,0.0,0.8567,0.0978,0.1755,0.9856,0.8989,0.9396,0.877,0.809,0.8416,0.9058,0.8154,0.8581,0.0,0.0,0.0,0.4508,0.9474,0.6109,0.7284,0.6223,0.6704
6,poly,0.1,0.1,,3,0.516,0.5203,0.654,0.6134,0.516,0.5112,0.0478,0.2187,0.4797,0.484,-0.0043,0.0143,0.001,0.0019,0.8312,0.1102,0.1943,0.9653,0.9189,0.9413,0.9824,0.7657,0.8605,0.9278,0.7768,0.8456,0.0,0.0,0.0,0.4122,0.9665,0.5779,0.7737,0.5887,0.6678
2,poly,0.5,scale,balanced,3,0.5136,0.5224,0.5394,0.5284,0.5136,0.4188,0.0529,0.23,0.4776,0.4864,-0.0089,0.1206,0.4318,0.1231,0.8787,0.0837,0.1523,0.2653,0.702,0.3826,0.9809,0.7936,0.8772,0.8915,0.6293,0.7373,0.0822,0.4784,0.1374,0.5801,0.4559,0.4659,0.428,0.5336,0.4747
3,poly,0.5,scale,,2,0.5111,0.5213,0.6678,0.5561,0.5111,0.4904,0.0553,0.2352,0.4787,0.4889,-0.0102,0.0,0.0,0.0,0.7544,0.0915,0.1629,0.8602,0.8439,0.844,0.8683,0.8214,0.844,0.8532,0.8665,0.8597,0.0,0.0,0.0,0.4554,0.8957,0.6038,0.6571,0.5695,0.6089
5,poly,10.0,0.01,,2,0.5107,0.5172,0.6565,0.5964,0.5107,0.5002,0.0537,0.2317,0.4828,0.4893,-0.0065,0.0,0.0,0.0,0.8766,0.087,0.1581,0.9776,0.8717,0.9206,0.8678,0.8006,0.8328,0.8958,0.799,0.8445,0.0,0.0,0.0,0.4368,0.9279,0.5939,0.7164,0.5996,0.6519
6,poly,50.0,0.01,,3,0.4902,0.4947,0.6422,0.6171,0.4902,0.4911,0.0491,0.2216,0.5053,0.5098,-0.0045,0.0133,0.001,0.0019,0.8868,0.0936,0.1692,0.9636,0.8644,0.9102,0.9698,0.7924,0.8721,0.9282,0.7088,0.8037,0.0,0.0,0.0,0.4027,0.9649,0.5683,0.7726,0.4964,0.6033
5,poly,5.0,0.01,,2,0.4753,0.4827,0.6357,0.5999,0.4753,0.474,0.0544,0.2333,0.5173,0.5247,-0.0074,0.0,0.0,0.0,0.9379,0.0801,0.1473,0.984,0.8103,0.8862,0.8494,0.7912,0.8192,0.9134,0.733,0.8132,0.0,0.0,0.0,0.4201,0.9369,0.5801,0.6945,0.4508,0.5459
4,rbf,0.1,0.05,,2,0.4603,0.4619,0.7209,0.4392,0.4603,0.4317,0.0447,0.2116,0.5381,0.5397,-0.0016,0.0,0.0,0.0,0.5952,0.2041,0.3025,0.0,0.0,0.0,0.9064,0.9015,0.9038,0.8421,0.9687,0.9009,0.0,0.0,0.0,0.5267,0.853,0.6512,0.6436,0.7554,0.6946
2,linear,50.0,0.01,,2,0.4567,0.4592,0.698,0.5259,0.4567,0.4648,0.0507,0.2251,0.5408,0.5433,-0.0026,0.0,0.0,0.0,0.4748,0.3043,0.3702,0.9196,0.4381,0.5743,0.9047,0.9033,0.9039,0.748,0.9135,0.8224,0.0,0.0,0.0,0.545,0.7941,0.6463,0.6148,0.2998,0.4016
2,linear,100.0,0.01,,2,0.4567,0.4593,0.698,0.5259,0.4567,0.4648,0.0506,0.225,0.5407,0.5433,-0.0026,0.0,0.0,0.0,0.4748,0.3043,0.3702,0.9196,0.4381,0.5743,0.9047,0.9033,0.9039,0.748,0.9135,0.8224,0.0,0.0,0.0,0.545,0.7941,0.6463,0.6148,0.2998,0.4016
2,linear,10.0,scale,,2,0.4517,0.4574,0.6977,0.5291,0.4517,0.4601,0.0508,0.2254,0.5426,0.5483,-0.0057,0.0,0.0,0.0,0.4743,0.3034,0.3694,0.9492,0.3974,0.5366,0.9046,0.9033,0.9038,0.7467,0.914,0.8218,0.0,0.0,0.0,0.5452,0.7941,0.6464,0.6131,0.301,0.4026
2,poly,1.0,0.05,balanced,3,0.4484,0.4621,0.4134,0.523,0.4484,0.3519,0.0539,0.2322,0.5379,0.5516,-0.0137,0.1226,0.0314,0.0446,0.9404,0.0761,0.1405,0.3094,0.6614,0.4166,0.9943,0.6587,0.7923,0.9079,0.5211,0.6618,0.0444,0.8843,0.0845,0.5501,0.225,0.2817,0.3151,0.5288,0.3929
2,linear,5.0,scale,,2,0.4437,0.4472,0.6973,0.5041,0.4437,0.4479,0.0508,0.2254,0.5528,0.5563,-0.0036,0.0,0.0,0.0,0.4738,0.3031,0.369,0.7492,0.3354,0.4419,0.9055,0.9028,0.9041,0.7453,0.9144,0.8211,0.0,0.0,0.0,0.545,0.7949,0.6465,0.6144,0.2986,0.4007
2,linear,5.0,0.05,,2,0.4437,0.4472,0.6973,0.5041,0.4437,0.4479,0.0508,0.2254,0.5528,0.5563,-0.0036,0.0,0.0,0.0,0.4738,0.3031,0.369,0.7492,0.3354,0.4419,0.9055,0.9028,0.9041,0.7453,0.9144,0.8211,0.0,0.0,0.0,0.545,0.7949,0.6465,0.6144,0.2986,0.4007
2,poly,1.0,auto,balanced,2,0.4434,0.4583,0.4836,0.4465,0.4434,0.3429,0.065,0.2549,0.5417,0.5566,-0.0149,0.109,0.4358,0.1218,0.8607,0.0852,0.1548,0.1714,0.7359,0.2763,0.8772,0.7303,0.7969,0.8131,0.6568,0.7259,0.0508,0.1961,0.08,0.498,0.3279,0.3338,0.1922,0.3789,0.2537
2,rbf,5.0,0.1,,2,0.4431,0.4475,0.6951,0.5374,0.4431,0.4462,0.0511,0.2261,0.5525,0.5569,-0.0044,0.0,0.0,0.0,0.5188,0.205,0.2917,0.9909,0.3297,0.465,0.9137,0.8954,0.9044,0.7316,0.927,0.8177,0.0,0.0,0.0,0.5274,0.8427,0.6486,0.617,0.3453,0.4423
2,poly,1.0,0.1,balanced,2,0.4395,0.4497,0.4843,0.4501,0.4395,0.3447,0.065,0.2549,0.5503,0.5605,-0.0101,0.1109,0.3151,0.1133,0.8891,0.0819,0.1497,0.1619,0.7018,0.262,0.8787,0.7211,0.792,0.8281,0.6341,0.7179,0.051,0.3,0.0836,0.4898,0.3773,0.3838,0.1914,0.385,0.2551
2,rbf,50.0,0.01,,3,0.4238,0.4204,0.6939,0.488,0.4238,0.4198,0.0505,0.2247,0.5796,0.5762,0.0034,0.0,0.0,0.0,0.5078,0.2185,0.3046,0.5909,0.2083,0.2757,0.9099,0.899,0.9044,0.7322,0.9231,0.8165,0.0,0.0,0.0,0.5272,0.8369,0.6469,0.6359,0.3045,0.4103
2,poly,50.0,0.05,,3,0.4182,0.4228,0.6679,0.5472,0.4182,0.4234,0.0531,0.2304,0.5772,0.5818,-0.0045,0.0,0.0,0.0,0.5015,0.1574,0.2394,0.9177,0.3908,0.5235,0.9654,0.8327,0.894,0.7949,0.8392,0.8163,0.0,0.0,0.0,0.4608,0.9375,0.6178,0.7375,0.1882,0.296
2,rbf,0.5,scale,,2,0.3977,0.3968,0.6924,0.4125,0.3977,0.3852,0.0511,0.226,0.6032,0.6023,0.0009,0.0,0.0,0.0,0.5015,0.2312,0.3143,0.0,0.0,0.0,0.9088,0.8967,0.9026,0.7243,0.9284,0.8137,0.0,0.0,0.0,0.5312,0.8283,0.6471,0.6344,0.2973,0.4042
5,poly,5.0,0.01,balanced,3,0.3957,0.3943,0.3365,0.6193,0.3957,0.3185,0.0693,0.2632,0.6057,0.6043,0.0014,0.122,0.0162,0.0273,0.9834,0.0653,0.1224,0.851,1.0,0.9194,0.7314,0.8506,0.7308,0.9575,0.128,0.2253,0.0461,0.8118,0.0853,0.4906,0.0163,0.0315,0.7726,0.277,0.4056
3,rbf,0.1,0.001,balanced,2,0.3829,0.3786,0.2943,0.429,0.3829,0.212,0.0711,0.2666,0.6214,0.6171,0.0043,0.092,0.833,0.1653,1.0,0.0078,0.0155,0.1584,1.0,0.27,0.9637,0.5223,0.5996,0.9632,0.3167,0.4565,0.0,0.0,0.0,0.189,0.0631,0.0818,0.0655,0.3202,0.1075
7,poly,0.5,0.01,balanced,2,0.366,0.3692,0.4095,0.6062,0.366,0.3352,0.0714,0.2671,0.6308,0.634,-0.0033,0.0346,0.0091,0.0144,0.9876,0.0623,0.1171,0.8738,1.0,0.9319,0.5887,0.6969,0.5202,0.9707,0.1309,0.2296,0.1701,0.0274,0.0385,0.4887,0.5948,0.3104,0.7353,0.4065,0.5199
5,rbf,0.5,0.001,,3,0.3515,0.3486,0.678,0.3841,0.3515,0.3085,0.0447,0.2115,0.6514,0.6485,0.003,0.0,0.0,0.0,0.9947,0.062,0.1166,0.0,0.0,0.0,0.8269,0.9345,0.8774,0.7618,0.9785,0.8567,0.0,0.0,0.0,0.4892,0.8371,0.6175,0.0,0.0,0.0
2,rbf,1.0,0.001,,2,0.3487,0.3452,0.6719,0.3696,0.3487,0.3059,0.0509,0.2255,0.6548,0.6513,0.0035,0.0,0.0,0.0,0.9121,0.0738,0.1356,0.0,0.0,0.0,0.8726,0.9191,0.8952,0.6726,0.9489,0.7872,0.0,0.0,0.0,0.4996,0.8479,0.6288,0.0,0.0,0.0
2,poly,1.0,0.1,,2,0.3215,0.32,0.6181,0.3504,0.3215,0.2909,0.0653,0.2555,0.68,0.6785,0.0015,0.0,0.0,0.0,0.7991,0.0933,0.167,0.0,0.0,0.0,0.8122,0.8055,0.8088,0.762,0.7816,0.7715,0.0,0.0,0.0,0.4295,0.8919,0.5797,0.0,0.0,0.0
2,poly,100.0,0.01,,3,0.3159,0.3142,0.6048,0.3824,0.3159,0.2926,0.0537,0.2316,0.6858,0.6841,0.0017,0.0,0.0,0.0,0.843,0.0963,0.1726,0.0,0.0,0.0,0.9892,0.7362,0.8441,0.843,0.7117,0.7715,0.0,0.0,0.0,0.3843,0.9825,0.5525,0.0,0.0,0.0
8,rbf,0.1,0.001,,2,0.2735,0.2712,0.545,0.3394,0.2735,0.2334,0.0415,0.2037,0.7288,0.7265,0.0023,0.0,0.0,0.0,1.0,0.0135,0.0266,0.0,0.0,0.0,0.4848,0.9983,0.6525,0.8269,0.9024,0.8628,0.0,0.0,0.0,0.4038,0.2736,0.3251,0.0,0.0,0.0
9,rbf,0.1,0.001,,2,0.2735,0.2713,0.545,0.3394,0.2735,0.2333,0.0414,0.2036,0.7287,0.7265,0.0021,0.0,0.0,0.0,1.0,0.0135,0.0266,0.0,0.0,0.0,0.4849,0.9983,0.6526,0.8265,0.9019,0.8623,0.0,0.0,0.0,0.4036,0.2738,0.3251,0.0,0.0,0.0
7,poly,5.0,0.001,balanced,2,0.2344,0.2385,0.2462,0.396,0.2344,0.1736,0.0927,0.3045,0.7615,0.7656,-0.0041,0.0,0.0,0.0,1.0,0.0539,0.1021,1.0,0.8165,0.8968,0.0,0.0,0.0,0.9333,0.0048,0.0095,0.0,0.0,0.0,0.2349,1.0,0.3804,0.0,0.0,0.0
3,poly,25.0,0.001,,2,0.1406,0.1392,0.328,0.3237,0.1406,0.089,0.0602,0.2453,0.8608,0.8594,0.0014,0.0,0.0,0.0,1.0,0.0569,0.1076,0.0,0.0,0.0,0.3135,1.0,0.4773,0.9885,0.066,0.1236,0.0,0.0,0.0,0.2879,0.0016,0.0032,0.0,0.0,0.0
9,poly,0.1,0.01,,3,0.1323,0.1304,0.3153,0.286,0.1323,0.0728,0.0592,0.2432,0.8696,0.8677,0.0018,0.0,0.0,0.0,0.9957,0.0536,0.1016,0.0,0.0,0.0,0.3092,1.0,0.4724,0.9333,0.0043,0.0086,0.0,0.0,0.0,0.05,0.0002,0.0004,0.0,0.0,0.0
2,poly,0.1,0.01,balanced,2,0.1319,0.1301,0.0545,0.1808,0.1319,0.0241,0.0956,0.3091,0.8699,0.8681,0.0018,0.0464,1.0,0.0886,1.0,0.0539,0.1021,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0012,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,poly,5.0,0.001,balanced,3,0.1309,0.1295,0.2387,0.1541,0.1309,0.0585,0.0977,0.3125,0.8705,0.8691,0.0013,0.0,0.0,0.0,1.0,0.0473,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2331,1.0,0.378,0.0,0.0,0.0
6,poly,1.0,0.001,balanced,3,0.1266,0.1261,0.2333,0.154,0.1266,0.0501,0.0985,0.3139,0.8739,0.8734,0.0005,0.0,0.0,0.0,1.0,0.0123,0.0243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2318,1.0,0.3764,0.0,0.0,0.0
3,poly,1.0,0.001,,3,0.1258,0.1256,0.3071,0.1633,0.1258,0.0602,0.0915,0.3023,0.8744,0.8742,0.0002,0.0,0.0,0.0,1.0,0.0063,0.0125,0.0,0.0,0.0,0.3064,1.0,0.4691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,poly,1.0,0.001,balanced,3,0.1258,0.1256,0.2323,0.1539,0.1258,0.0485,0.0985,0.3139,0.8744,0.8742,0.0002,0.0,0.0,0.0,1.0,0.006,0.0119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2316,1.0,0.3761,0.0,0.0,0.0
4,poly,0.1,0.001,balanced,2,0.1253,0.125,0.0463,0.0808,0.1253,0.0116,0.0985,0.3139,0.875,0.8747,0.0003,0.0459,1.0,0.0879,0.6,0.0027,0.0054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
