n_components,kernel,C,gamma,class_weight,degree,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
9,rbf,25.0,auto,,2,0.7467,0.8222,0.8253,0.7655,0.7467,0.7446,0.0307,0.1753,0.1778,0.2533,-0.0756,0.3127,0.0668,0.1083,0.6285,0.652,0.6399,0.9386,0.9655,0.95,0.9604,0.9446,0.9524,0.9206,0.9651,0.9423,0.775,0.7372,0.7524,0.7329,0.8232,0.7754,0.8556,0.819,0.8364
8,rbf,5.0,scale,,3,0.7429,0.7699,0.827,0.7664,0.7429,0.7371,0.0307,0.1752,0.2301,0.2571,-0.027,0.2949,0.0162,0.0302,0.6219,0.6704,0.6449,0.9225,0.9867,0.952,0.9617,0.9417,0.9516,0.9125,0.9689,0.9398,0.8139,0.7079,0.7553,0.7347,0.831,0.7797,0.8691,0.8202,0.8433
5,rbf,10.0,0.05,balanced,2,0.74,0.7707,0.7219,0.6633,0.74,0.666,0.0381,0.1952,0.2293,0.26,-0.0307,0.2128,0.5588,0.3072,0.6531,0.2881,0.3982,0.8955,1.0,0.9439,0.9575,0.8989,0.9272,0.9149,0.953,0.9335,0.2769,0.7686,0.4061,0.67,0.5787,0.6201,0.7255,0.8741,0.7922
5,rbf,50.0,0.01,balanced,3,0.7398,0.7581,0.7201,0.6619,0.7398,0.6622,0.0386,0.1965,0.2419,0.2602,-0.0183,0.2119,0.5558,0.3059,0.675,0.2706,0.3843,0.8895,1.0,0.9406,0.9565,0.8993,0.9269,0.9139,0.9492,0.9312,0.276,0.7843,0.4066,0.6655,0.5838,0.6212,0.7069,0.8753,0.7812
8,poly,1.0,0.1,balanced,2,0.7353,0.7509,0.7191,0.6886,0.7353,0.6759,0.0441,0.2102,0.2491,0.2647,-0.0156,0.2523,0.5466,0.3426,0.7257,0.1872,0.297,0.8619,1.0,0.9253,0.9572,0.793,0.8674,0.8914,0.8814,0.8863,0.5294,0.8196,0.6425,0.6007,0.8407,0.7001,0.69,0.8142,0.7461
5,rbf,5.0,auto,balanced,2,0.7326,0.7974,0.729,0.6646,0.7326,0.6716,0.0384,0.1958,0.2026,0.2674,-0.0648,0.2143,0.5224,0.3018,0.6227,0.3275,0.4271,0.9032,0.9727,0.9356,0.9571,0.8996,0.9274,0.9181,0.952,0.9347,0.2991,0.7196,0.4221,0.6729,0.5964,0.6313,0.7292,0.8705,0.7927
5,rbf,5.0,auto,balanced,3,0.7326,0.7974,0.729,0.6646,0.7326,0.6716,0.0384,0.1958,0.2026,0.2674,-0.0648,0.2143,0.5224,0.3018,0.6227,0.3275,0.4271,0.9032,0.9727,0.9356,0.9571,0.8996,0.9274,0.9181,0.952,0.9347,0.2991,0.7196,0.4221,0.6729,0.5964,0.6313,0.7292,0.8705,0.7927
7,rbf,100.0,0.01,,3,0.7315,0.7504,0.8237,0.7451,0.7315,0.7279,0.031,0.176,0.2496,0.2685,-0.019,0.1436,0.0061,0.0115,0.6172,0.6782,0.646,0.9321,0.9658,0.9473,0.9638,0.9353,0.9493,0.9067,0.9696,0.9371,0.8182,0.6608,0.7289,0.7301,0.829,0.7763,0.8488,0.807,0.8271
9,rbf,1.0,0.001,balanced,3,0.7306,0.7317,0.6953,0.6422,0.7306,0.6074,0.0404,0.201,0.2683,0.2694,-0.0011,0.2173,0.7227,0.3324,0.8483,0.0912,0.164,0.7162,1.0,0.8333,0.9379,0.8974,0.9171,0.8698,0.9383,0.9027,0.2628,0.7686,0.3907,0.7104,0.5814,0.6347,0.575,0.8453,0.6843
5,rbf,10.0,auto,balanced,2,0.7297,0.8087,0.7337,0.6701,0.7297,0.6769,0.0384,0.196,0.1913,0.2703,-0.079,0.2166,0.5143,0.3029,0.606,0.3399,0.4332,0.9301,0.9591,0.9434,0.9593,0.9033,0.9304,0.9162,0.9496,0.9326,0.3172,0.6922,0.4342,0.6767,0.6107,0.641,0.7393,0.8682,0.7973
